experiment_id,method,target,scope,class_id,gas,true_ppm,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,75.0,42,34,8.48200247391311,5.778505390887039,0.037697788772947154,nan,-1.3491150792479485
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,100.0,42,34,9.488537583741358,7.627878927986912,0.04217127814996159,nan,3.3047119638993903
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,125.0,42,34,14.787726145604916,11.228225733327996,0.06572322731379962,nan,1.1206086257058128
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,150.0,42,34,11.537733556650416,8.577332870737136,0.05127881580733518,nan,2.846229319117163
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,175.0,42,34,15.72381345223586,9.831182005878242,0.06988361534327048,nan,-3.2195495774421325
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,200.0,42,34,13.219691174451828,8.274647486539285,0.058754182997563686,nan,-1.0702647953736142
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,225.0,42,34,87.247272730517,51.58265295855887,0.3877656565800755,nan,-42.92809737164838
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,250.0,42,34,38.6062055472412,13.166305936763035,0.17158313576551645,nan,-13.166305936763035
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,12.5,42,31,0.8225232872543703,0.2881502420559153,0.0073113181089277356,nan,0.2881502420559153
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,25.0,42,34,2.8688888411400786,2.1208609485200753,0.025501234143467368,nan,0.31688751153325917
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,37.5,42,34,6.977361522056071,4.232974320040311,0.06202099130716507,nan,4.232974320040311
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,50.0,42,34,3.2646102552792304,2.2598893845663706,0.029018757824704266,nan,1.4187142468626357
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,62.5,42,34,3.3611042032675718,2.1614208341491357,0.029876481806822862,nan,1.5727446508526812
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,75.0,42,34,6.041465947959691,4.912498382952266,0.05370191953741947,nan,-3.220520996904447
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,87.5,42,34,5.304341668167816,4.330233981340623,0.047149703717047256,nan,3.3112379808415646
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,100.0,42,34,3.6754734425951656,2.5437776084877113,0.032670875045290364,nan,-0.8746868402443172
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,112.5,42,34,6.868565624577179,5.18567261805974,0.061053916662908256,nan,-4.521675012436498
