experiment_id,method,target,scope,class_id,gas,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,0,Ethanol,42,340,20.214297134164017,4.880103975223206,0.17968264119256905,0.683011639367159,1.7632539559913212
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,1,CO,42,340,21.56931014234211,14.346733230348722,0.09586360063263162,0.9097725789058827,0.02393487937684393
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,2,Ethylene,42,340,35.13392796547622,9.896432463920508,0.31230158191534413,0.04241036079843152,6.780899195836981
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_ALL,3,Methane,42,340,32.25905354761838,13.64141267735714,0.14337357132274833,0.7981776415441242,-3.899765919772174
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,0,Ethanol,42,337,4.778693682618001,3.1113003790219524,0.04247727717882667,0.9820489365807205,-0.033296079550275505
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,1,CO,42,330,17.752055629730858,13.011425994439337,0.07889802502102605,0.9383873363161089,1.7342252797519182
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,2,Ethylene,42,330,6.194409516778245,4.400869811312037,0.05506141792691773,0.9698407396160327,1.342441595710829
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,S_CC,3,Methane,42,331,17.71691902034308,9.776750423858536,0.07874186231263591,0.9380891320093692,-0.1438809826116434
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_ALL,0,Ethanol,42,340,4.760258388177406,3.092531717041686,0.042313407894910275,0.9824212868482224,-0.024318302190198603
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_ALL,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_ALL,2,Ethylene,42,340,6.139321111612887,4.344953916916407,0.054571743214336776,0.9707607166359307,1.337566177008936
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_ALL,3,Methane,42,340,19.460423898088134,10.687879634655177,0.08649077288039171,0.9265535809370609,-1.1749479134427188
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_CC,0,Ethanol,42,337,4.778693682618001,3.1113003790219524,0.04247727717882667,0.9820489365807205,-0.033296079550275505
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_CC,1,CO,42,330,17.752055629730858,13.011425994439337,0.07889802502102605,0.9383873363161089,1.7342252797519182
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_CC,2,Ethylene,42,330,6.194409516778245,4.400869811312037,0.05506141792691773,0.9698407396160327,1.342441595710829
CAN-V1-MB-P3-POSTHOC-R84-S42,Posthoc-A0T,C5,Oracle_CC,3,Methane,42,331,17.71691902034308,9.776750423858536,0.07874186231263591,0.9380891320093692,-0.1438809826116434
