method,target_coverage,threshold,calibration_retained_N,accepted_N,test_N,actual_coverage,target_test_used_for_selection,curve_rule,N,RMSE,MAE,NRMSE_range,Bias,R2,misroute_events,misroute_capture_rate,misroute_accepted_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,error_ge_40ppm_accepted_rate,top5pct_error_events,top5pct_error_capture_rate,top5pct_error_accepted_rate,methane225_repeat1_events,methane225_repeat1_capture_rate,methane225_repeat1_accepted_rate,RMSE_p025,RMSE_p975,MAE_p025,MAE_p975,NRMSE_range_p025,NRMSE_range_p975
Q1_confidence,0.5,0.07334695337252503,,680,1360,0.5,False,rank_deployment_visible_risk_then_retain_exact_count,680,12.827065331293953,6.694352055481316,0.0645619865290018,0.08937542368512888,0.9541262886277763,32,1.0,0.0,48,0.8125,0.013235294117647059,68,0.8235294117647058,0.01764705882352941,17,0.7647058823529411,0.0058823529411764705,,,,,,
Q1_confidence,0.55,0.07697217025851416,,749,1360,0.5507352941176471,False,rank_deployment_visible_risk_then_retain_exact_count,749,12.424443824289394,6.514333989344079,0.06296261633411229,0.0029063563599245044,0.9568084180743027,32,1.0,0.0,48,0.8125,0.012016021361815754,68,0.8235294117647058,0.01602136181575434,17,0.7647058823529411,0.0053404539385847796,,,,,,
Q1_confidence,0.6,0.08526925045629109,,816,1360,0.6,False,rank_deployment_visible_risk_then_retain_exact_count,816,12.17600706392372,6.502807517862638,0.06206398391616216,0.25739930486941087,0.9599778288908083,32,1.0,0.0,48,0.8125,0.011029411764705883,68,0.8235294117647058,0.014705882352941176,17,0.7647058823529411,0.004901960784313725,,,,,,
Q1_confidence,0.65,0.10019766353344668,,884,1360,0.65,False,rank_deployment_visible_risk_then_retain_exact_count,884,12.016293792288016,6.522827821423943,0.061995132979965416,0.15197823533383054,0.9610988225509716,32,1.0,0.0,48,0.8125,0.010180995475113122,68,0.7941176470588235,0.01583710407239819,17,0.7647058823529411,0.004524886877828055,,,,,,
Q1_confidence,0.7,0.11555346387536283,,952,1360,0.7,False,rank_deployment_visible_risk_then_retain_exact_count,952,12.61496896643504,6.717509261919481,0.06489626543354335,-0.04013942076622625,0.9575144063526202,32,0.96875,0.0010504201680672268,48,0.7708333333333334,0.011554621848739496,68,0.7647058823529411,0.01680672268907563,17,0.7058823529411765,0.005252100840336135,,,,,,
Q1_confidence,0.75,0.14086972883786547,,1020,1360,0.75,False,rank_deployment_visible_risk_then_retain_exact_count,1020,12.515968527446432,6.760940006072235,0.06430664264503315,0.056067559620183456,0.9593277999371423,32,0.96875,0.000980392156862745,48,0.7708333333333334,0.010784313725490196,68,0.75,0.016666666666666666,17,0.6470588235294118,0.0058823529411764705,,,,,,
Q1_confidence,0.8,0.1839891624091732,,1088,1360,0.8,False,rank_deployment_visible_risk_then_retain_exact_count,1088,12.515285527188311,6.9327971603063,0.06423177722121189,0.14700664109078798,0.9597104660574515,32,0.96875,0.0009191176470588235,48,0.7708333333333334,0.01011029411764706,68,0.7352941176470589,0.016544117647058824,17,0.6470588235294118,0.0055147058823529415,,,,,,
Q1_confidence,0.85,0.28248906889313585,,1156,1360,0.85,False,rank_deployment_visible_risk_then_retain_exact_count,1156,14.359186722392035,7.377150264025923,0.08756014269586376,0.5733098948514653,0.9486573458948349,32,0.9375,0.0017301038062283738,48,0.6875,0.012975778546712802,68,0.6470588235294118,0.020761245674740483,17,0.6470588235294118,0.005190311418685121,,,,,,
Q1_confidence,0.9,0.6210426794055697,,1224,1360,0.9,False,rank_deployment_visible_risk_then_retain_exact_count,1224,14.447170379225884,7.558588733374868,0.08675441892412789,0.743194581706177,0.9492582107111577,32,0.90625,0.0024509803921568627,48,0.625,0.014705882352941176,68,0.5735294117647058,0.02369281045751634,17,0.6470588235294118,0.004901960784313725,,,,,,
Q1_confidence,0.95,1.0,,1292,1360,0.95,False,rank_deployment_visible_risk_then_retain_exact_count,1292,18.052710932512134,8.462279878661658,0.12183571511067684,0.9191381155634766,0.922171843001738,32,0.5625,0.010835913312693499,48,0.4166666666666667,0.021671826625386997,68,0.3088235294117647,0.03637770897832817,17,0.5882352941176471,0.005417956656346749,,,,,,
Q1_confidence,0.975,1.0,,1326,1360,0.975,False,rank_deployment_visible_risk_then_retain_exact_count,1326,20.110408617076732,8.883946830231466,0.1397707268290717,1.0127756486667963,0.9059018711983056,32,0.46875,0.01282051282051282,48,0.2916666666666667,0.02564102564102564,68,0.20588235294117646,0.04072398190045249,17,0.5882352941176471,0.005279034690799397,,,,,,
Q1_confidence,1.0,inf,,1360,1360,1.0,False,rank_deployment_visible_risk_then_retain_exact_count,1360,28.057496229689647,10.691170586712394,0.19972727686326158,1.1670805278582432,0.821260210875533,32,0.0,0.023529411764705882,48,0.0,0.03529411764705882,68,0.0,0.05,17,0.0,0.0125,,,,,,
Q2_regression_disagreement,0.5,0.06555287768133941,,680,1360,0.5,False,rank_deployment_visible_risk_then_retain_exact_count,680,31.142828993736174,8.54450262349912,0.256387289655226,3.3349495443051063,0.6717627396093224,32,0.34375,0.030882352941176472,48,0.6666666666666666,0.023529411764705882,68,0.6470588235294118,0.03529411764705882,17,0.5882352941176471,0.010294117647058823,,,,,,
Q2_regression_disagreement,0.55,0.10286775032832071,,749,1360,0.5507352941176471,False,rank_deployment_visible_risk_then_retain_exact_count,749,29.81421579183066,8.399493831739123,0.24503438674267647,3.1427480843529136,0.6938508976647726,32,0.34375,0.028037383177570093,48,0.6666666666666666,0.021361815754339118,68,0.6470588235294118,0.03204272363150868,17,0.5882352941176471,0.009345794392523364,,,,,,
Q2_regression_disagreement,0.6,0.16930772074819916,,816,1360,0.6,False,rank_deployment_visible_risk_then_retain_exact_count,816,28.67484411586515,8.30012595213901,0.2351004780250346,2.8074268933238757,0.7346948681738196,32,0.34375,0.025735294117647058,48,0.6666666666666666,0.0196078431372549,68,0.6470588235294118,0.029411764705882353,17,0.5882352941176471,0.00857843137254902,,,,,,
