reference_workpoint,q3_actual_coverage,method,accepted_N,RMSE,RMSE_random_p025,RMSE_random_p975,MAE,MAE_random_p025,MAE_random_p975,NRMSE_range,NRMSE_range_random_p025,NRMSE_range_random_p975,N,Bias,R2
HC90,0.8345588235294118,Q0_random,1135,27.99765775828033,25.588028349935758,29.85755884121449,10.683049748084356,10.066283967980135,11.22885817344808,0.19929024845472038,0.17557991241828444,0.21548556918638068,,,
HC90,0.8345588235294118,Q1_confidence,1135,14.239665716840921,,,7.268077978023779,,,0.08750960956565602,,,1135,0.4677585301771376,0.9490174907507638
HC90,0.8345588235294118,Q2_regression_disagreement,1135,25.456688442333157,,,8.654205148867417,,,0.20249344022225355,,,1135,2.235603684109905,0.8283364805848423
HC90,0.8345588235294118,Q3_equal_mean,1135,24.642190825611028,,,9.004750319073024,,,0.20011252228894608,,,1135,2.297375841221832,0.853085420206462
HC95,0.8933823529411765,Q0_random,1215,28.01860494110299,25.944798978081593,29.407233779502793,10.681845192092037,10.159887562747302,11.112339724561417,0.19938958308639382,0.18027567974959,0.21029879622307823,,,
HC95,0.8933823529411765,Q1_confidence,1215,14.46681894369151,,,7.556339032995219,,,0.08696414226089466,,,1215,0.7351637107170497,0.9489092294052778
HC95,0.8933823529411765,Q2_regression_disagreement,1215,25.57323580448454,,,9.218521644782331,,,0.198155542445143,,,1215,2.156679693841171,0.8359607932154165
HC95,0.8933823529411765,Q3_equal_mean,1215,25.178851937712714,,,9.352155042221233,,,0.1968824209009618,,,1215,2.0122964952555136,0.8478823225345489
