method,source_inter_client_class_phase_prototype_distance_mean,within_class_c1_c2_centroid_distance_mean,between_class_centroid_margin_mean,prototype_cells,source_test_windows
FedAvg,0.07706917558486263,0.07194903399795294,1.624671200911204,12,1360
GAPS-DG-P,0.06371512784001727,0.06037111906334758,1.6165278553962708,12,1360
