identity,source_method,budget,calibration_n,C5_N,C5_accuracy,C5_macro_f1,C5_nll,C5_ece,source_macro_f1_before,source_macro_f1_after,source_retention_delta,adaptation_seconds,checkpoint_sha256,source_checkpoint_sha256
I0,S2-FedAvg,20,320,1360,0.9764705882352941,0.9765440505346443,0.07129153653030822,0.010052415575174703,0.9992647042921805,0.6622516651169699,-0.33701303917521064,13.081214299891144,857f3954003bffad1af716002a1bd2915923389faec31b69f5c72e563aaa212c,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
I0,S2-FedAvg,5,80,1360,0.9514705882352941,0.9515676118857475,0.23303750601826345,0.036221121361150535,0.9992647042921805,0.6599413194696736,-0.3393233848225069,13.734591400017962,620b6dddb17cd912bdd020e96d1317ddd561b2adf0ec55a419ba37259aefec76,2d114a8ae23fcdea574d1e7c64e638620f60e49560da594397187bd5de1505fa
I1,S4-FedAvg,20,320,1360,0.9669117647058824,0.966918332676123,0.14193517092067717,0.02449659273466641,0.9987266470895563,0.6887730212275495,-0.3099536258620068,14.913263999973424,925f93e235aad94e705f53f2da7337c9f9f8646bda33dd26989fa88d54a18e76,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
I1,S4-FedAvg,5,80,1360,0.9691176470588235,0.9690665079407845,0.1346082337186679,0.02447230680023927,0.9987266470895563,0.7136017144329823,-0.285124932656574,13.78699679998681,40cedd4d6e40a0bc132bf365595f9aea1548cc977e3c8208f40e07e6ecfec7e0,cd78163391643e8292122733036789404286055701e5294f6f4e0e90c7ff20f7
I2,S4-DG-P,20,320,1360,0.9838235294117647,0.9838205427751326,0.07815761305605658,0.009860908327733816,0.9974539918656565,0.7181012386988457,-0.27935275316681085,13.0863617999712,4b3dcfb655d789174a5fb735137fdb2f373f129024b766ad357ab82013cf762e,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
I2,S4-DG-P,5,80,1360,0.9573529411764706,0.9572750004654167,0.1954403910849687,0.034397211320260086,0.9974539918656565,0.6252962693078826,-0.3721577225577739,14.285265199956484,1ee33e973fa0c034a0d36c00e454aafa3dbec59a24be823a095baad48c8f7bd4,016a240f2d196cdda7d590fa44821dbad3e83fe77558b900959d77640b015413
