experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,checkpoint_sha256,DA,calibration,QC,seed,dataset_path,result_path,metrics,status,notes
XTR-GAPS-H1-C3,C1;C2,C3,C3 calibration=320/test=680; test fixed-endpoint evaluation only,GAPS target-matched classifier + Federated-H1,results/iotj_final_classification_le1_20260804/FCL-E3-GAPS-C3/remote_server/server_latest_adapted.pth,9c5c85657ae9f9be2214b5bcbf9caf4252f6a407ab65c9a931a9f16a3330c0ec,GAPS,none,none,42,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid/client_3,results/iotj_gaps_cross_target_regression_router_analysis_20260804,cross-target regression metrics,registered,no target regression fit; existing route CSV reused
XTR-GAPS-H1-C4,C1;C2,C4,C4 calibration=160/test=320; test fixed-endpoint evaluation only,GAPS target-matched classifier + Federated-H1,results/iotj_final_classification_le1_20260804/FCL-E3-GAPS-C4/remote_server/server_latest_adapted.pth,ea8199e91bb55121926a30716a142fd789a8a7485a4b4d764c3a6e1e44f8a0b6,GAPS,none,none,42,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid/client_4,results/iotj_gaps_cross_target_regression_router_analysis_20260804,cross-target regression metrics,registered,no target regression fit; existing route CSV reused
XTR-GAPS-H1-C5,C1;C2,C5,C5 calibration=320/test=1360; test fixed-endpoint evaluation only,GAPS target-matched classifier + Federated-H1,results/iotj_final_classification_le1_20260804/FCL-E3-GAPS-C5/remote_server/server_latest_adapted.pth,15ccde0cf274dabd84d007caea94fb11c0e7f59e2b5537425795b7d636aa4bf3,GAPS,none,none,42,dataset/client_data_c1234src_c5tgt_2080_timeaware_60_170_window_fullgrid/client_5,results/iotj_gaps_cross_target_regression_router_analysis_20260804,cross-target regression metrics,registered,no target regression fit; existing route CSV reused
