step,supervised_ce,pseudo_ce_raw,pseudo_ce_weighted,prototype_raw,prototype_weighted,pseudo_acceptance_rate,pseudo_mean_confidence
1.0,4.396727561950684,0.0028325433377176523,0.0007081358344294131,0.9207593202590942,0.04603796824812889,0.84375,0.9484167098999023
2.0,3.0792884826660156,0.16918766498565674,0.042296916246414185,0.7670977115631104,0.03835488483309746,0.90625,0.9842036962509155
3.0,4.3501176834106445,0.6673961877822876,0.1668490469455719,0.8292340040206909,0.041461702436208725,0.96875,0.9952378869056702
4.0,3.575047016143799,0.8049861788749695,0.20124654471874237,0.9554656147956848,0.04777328297495842,0.875,0.9696521162986755
5.0,2.7984020709991455,1.302829623222351,0.32570740580558777,0.8625541925430298,0.04312771186232567,0.9375,0.9816350340843201
6.0,2.213099241256714,1.412251353263855,0.35306283831596375,0.7714073657989502,0.03857037052512169,1.0,0.9978558421134949
7.0,2.140939474105835,0.9366313815116882,0.23415784537792206,0.7255723476409912,0.0362786166369915,0.9375,0.9874147176742554
8.0,2.737713098526001,1.4687124490737915,0.3671781122684479,1.011252522468567,0.050562627613544464,1.0,0.995883584022522
9.0,2.6019020080566406,1.1891406774520874,0.29728516936302185,0.7538802623748779,0.037694014608860016,1.0,0.9981850385665894
10.0,1.9606587886810303,1.7152001857757568,0.4288000464439392,0.8176402449607849,0.040882013738155365,0.96875,0.9908674359321594
11.0,1.7047512531280518,2.2169251441955566,0.5542312860488892,0.9545917510986328,0.04772958904504776,0.875,0.9567152857780457
12.0,2.3857507705688477,1.4832661151885986,0.37081652879714966,0.8405150771141052,0.04202575609087944,0.96875,0.9920852184295654
13.0,1.6601085662841797,2.4193878173828125,0.6048469543457031,0.8927392363548279,0.044636961072683334,0.90625,0.9878789782524109
14.0,1.5259422063827515,2.006941318511963,0.5017353296279907,0.8199564814567566,0.04099782556295395,0.96875,0.9947961568832397
15.0,0.7078101634979248,1.7791895866394043,0.4447973966598511,0.7937403321266174,0.03968701884150505,0.9375,0.9756046533584595
16.0,1.469010353088379,2.9842350482940674,0.7460587620735168,0.9365170001983643,0.04682585224509239,0.9375,0.9840232133865356
17.0,1.0149120092391968,2.909329652786255,0.7273324131965637,0.9154105186462402,0.04577052593231201,0.90625,0.9786760807037354
18.0,0.06561090797185898,2.348700523376465,0.5871751308441162,0.8073246479034424,0.04036623239517212,0.96875,0.9951053857803345
19.0,0.17874252796173096,2.258601427078247,0.5646503567695618,0.6612526178359985,0.033062633126974106,0.90625,0.9773745536804199
20.0,1.0056867599487305,1.9955061674118042,0.49887654185295105,0.7675496935844421,0.038377486169338226,1.0,0.9982689619064331
21.0,0.2814249098300934,2.7269883155822754,0.6817470788955688,0.9807544946670532,0.04903772473335266,0.9375,0.984245777130127
22.0,0.5237944722175598,2.413418769836426,0.6033546924591064,0.7849141359329224,0.03924570605158806,0.90625,0.9878441095352173
23.0,0.009214449673891068,2.33571720123291,0.5839293003082275,0.6510863304138184,0.03255431726574898,0.9375,0.9813585877418518
24.0,0.573186993598938,3.6864662170410156,0.9216165542602539,0.9475125074386597,0.0473756268620491,0.875,0.9687027931213379
25.0,0.589232861995697,3.148500442504883,0.7871251106262207,0.8701117634773254,0.04350559040904045,0.90625,0.9842641949653625
26.0,0.05609142780303955,1.4776734113693237,0.36941835284233093,0.5382702946662903,0.026913514360785484,0.90625,0.9761849641799927
27.0,0.012143360450863838,2.4766318798065186,0.6191579699516296,0.8111181259155273,0.04055590555071831,0.90625,0.9783780574798584
28.0,0.3061409294605255,2.906975269317627,0.7267438173294067,0.8296667337417603,0.04148333892226219,0.90625,0.977030336856842
29.0,0.06730347126722336,1.8829063177108765,0.4707265794277191,0.5706189870834351,0.028530949726700783,0.9375,0.979612410068512
30.0,0.5055173635482788,2.7359063625335693,0.6839765906333923,0.971803605556488,0.04859017953276634,0.9375,0.9784955978393555
31.0,0.37780821323394775,2.00473952293396,0.50118488073349,0.6832053661346436,0.03416026756167412,0.875,0.9765092134475708
32.0,0.05295688286423683,1.2603837251663208,0.3150959312915802,0.42899250984191895,0.021449625492095947,1.0,0.9965192079544067
33.0,0.11204208433628082,2.514343738555908,0.628585934638977,0.8664878010749817,0.043324392288923264,1.0,0.9977931976318359
34.0,0.1627253293991089,1.4810080528259277,0.37025201320648193,0.5729920268058777,0.028649602085351944,0.96875,0.9906771183013916
35.0,0.08405786752700806,1.682763695716858,0.4206909239292145,0.5648138523101807,0.028240693733096123,0.90625,0.9749511480331421
36.0,0.07127673923969269,1.9361339807510376,0.4840334951877594,0.7286644577980042,0.03643322363495827,0.875,0.9651724100112915
37.0,0.08437004685401917,1.3952922821044922,0.34882307052612305,0.5418980121612549,0.027094900608062744,0.875,0.9596234560012817
38.0,0.07425766438245773,2.0216550827026367,0.5054137706756592,0.6338204741477966,0.03169102594256401,0.84375,0.9747149348258972
39.0,0.01970047689974308,1.0692764520645142,0.26731911301612854,0.5858404636383057,0.029292022809386253,0.875,0.9675828218460083
40.0,0.04135932773351669,0.1166885644197464,0.0291721411049366,0.294853150844574,0.014742657542228699,0.8125,0.9736032485961914
41.0,0.07969580590724945,1.45404851436615,0.3635121285915375,0.5935626029968262,0.02967813052237034,0.9375,0.9864410161972046
42.0,0.21718454360961914,0.9501839876174927,0.23754599690437317,0.5409789085388184,0.027048945426940918,0.9375,0.9908497333526611
43.0,0.020915333181619644,1.6826157569885254,0.42065393924713135,0.5498868227005005,0.027494341135025024,0.78125,0.9482271671295166
44.0,0.09632811695337296,1.5524921417236328,0.3881230354309082,0.5694912672042847,0.028474563732743263,0.75,0.9410634636878967
45.0,0.047073449939489365,1.5582526922225952,0.3895631730556488,0.6773495674133301,0.033867478370666504,0.9375,0.9747101068496704
46.0,0.013423815369606018,1.161350965499878,0.2903377413749695,0.47005224227905273,0.023502612486481667,0.90625,0.9787372350692749
47.0,0.033792927861213684,1.0690251588821411,0.2672562897205353,0.4966336190700531,0.024831680580973625,0.96875,0.9893736839294434
48.0,0.03552332893013954,1.465147614479065,0.36628690361976624,0.5627644658088684,0.02813822403550148,0.875,0.9722111225128174
49.0,0.027694040909409523,1.4373451471328735,0.3593362867832184,0.5634384751319885,0.028171924874186516,0.875,0.954369068145752
50.0,0.03421657159924507,1.5534625053405762,0.38836562633514404,0.5752599239349365,0.028762996196746826,0.90625,0.9671941995620728
51.0,0.010067464783787727,1.0174453258514404,0.2543613314628601,0.5063073039054871,0.025315364822745323,0.8125,0.9560383558273315
52.0,0.031104009598493576,0.6041843891143799,0.15104609727859497,0.3822289705276489,0.019111448898911476,0.9375,0.9841034412384033
53.0,0.01810763031244278,0.551432192325592,0.137858048081398,0.37510839104652405,0.018755419179797173,0.875,0.9782055616378784
54.0,0.09139012545347214,0.8541321158409119,0.21353302896022797,0.5658381581306458,0.028291909024119377,0.8125,0.9563997983932495
55.0,0.026423027738928795,1.0800870656967163,0.2700217664241791,0.46774476766586304,0.023387238383293152,0.9375,0.9920576214790344
56.0,0.06279735267162323,0.7398503422737122,0.18496258556842804,0.42208391427993774,0.021104196086525917,0.9375,0.9903661608695984
57.0,0.024586699903011322,0.8768110275268555,0.21920275688171387,0.44836917519569397,0.022418459877371788,0.8125,0.9540443420410156
58.0,0.016964323818683624,1.0607157945632935,0.26517894864082336,0.4650970697402954,0.02325485460460186,0.84375,0.9627647995948792
59.0,0.047879256308078766,0.9073253273963928,0.2268313318490982,0.46519309282302856,0.023259654641151428,0.84375,0.9622591137886047
60.0,0.05336836725473404,1.1776387691497803,0.29440969228744507,0.5732409358024597,0.028662046417593956,0.8125,0.9505961537361145
61.0,0.023157678544521332,0.6816855072975159,0.17042137682437897,0.4149114489555359,0.020745573565363884,0.9375,0.9793396592140198
62.0,0.04206200689077377,0.8226976990699768,0.2056744247674942,0.4845038652420044,0.02422519400715828,1.0,0.9967969655990601
63.0,0.014889116398990154,0.6263077259063721,0.15657693147659302,0.49806806445121765,0.024903403595089912,0.9375,0.9820895195007324
64.0,0.03522685170173645,0.2514396607875824,0.0628599151968956,0.37212073802948,0.018606036901474,0.875,0.9711532592773438
65.0,0.03780796751379967,0.7079907059669495,0.17699767649173737,0.4693306088447571,0.023466531187295914,0.84375,0.9547119140625
66.0,0.01302209310233593,0.7401535511016846,0.18503838777542114,0.4742387533187866,0.02371193841099739,0.90625,0.9876981973648071
67.0,0.04186820611357689,0.8580547571182251,0.21451368927955627,0.46391868591308594,0.023195935413241386,0.9375,0.9901772737503052
68.0,0.04829132929444313,0.6677080988883972,0.1669270247220993,0.4537774324417114,0.02268887124955654,0.96875,0.9846640229225159
69.0,0.08573079109191895,0.8942666053771973,0.22356665134429932,0.48982593417167664,0.02449129708111286,0.78125,0.9484736919403076
70.0,0.03567176312208176,0.47833138704299927,0.11958284676074982,0.41774821281433105,0.020887410268187523,0.9375,0.9897680878639221
71.0,0.02301720343530178,0.46251732110977173,0.11562933027744293,0.3674755394458771,0.018373778089880943,0.8125,0.9546645283699036
72.0,0.05083908885717392,0.6880919337272644,0.1720229834318161,0.49671709537506104,0.024835854768753052,0.8125,0.9318591356277466
73.0,0.030137693509459496,0.7184508442878723,0.17961271107196808,0.43761128187179565,0.021880565211176872,0.8125,0.9400839805603027
74.0,0.018947795033454895,0.6739387512207031,0.16848468780517578,0.39221644401550293,0.019610822200775146,0.8125,0.9492469429969788
75.0,0.018626442179083824,1.0275804996490479,0.25689512491226196,0.5426108241081238,0.02713054232299328,0.84375,0.9640536904335022
76.0,0.039751727133989334,0.3316217064857483,0.08290542662143707,0.3975755274295807,0.019878776744008064,0.90625,0.979915201663971
77.0,0.015998169779777527,1.1370216608047485,0.28425541520118713,0.5049222707748413,0.025246113538742065,0.9375,0.9834530353546143
78.0,0.013088366016745567,0.2835420072078705,0.07088550180196762,0.3637946546077728,0.01818973384797573,0.90625,0.9825522303581238
79.0,0.006245473399758339,0.8636112213134766,0.21590280532836914,0.45945969223976135,0.022972984239459038,0.9375,0.9854751229286194
80.0,0.037720393389463425,0.018414121121168137,0.004603530280292034,0.36570608615875244,0.018285304307937622,0.9375,0.991107165813446
81.0,0.06763403117656708,0.5056507587432861,0.12641268968582153,0.46313485503196716,0.023156743496656418,0.875,0.9786533713340759
82.0,0.04517701268196106,0.7156084775924683,0.17890211939811707,0.4336768388748169,0.021683841943740845,0.8125,0.9425904154777527
83.0,0.02784830331802368,0.7385734915733337,0.18464337289333344,0.4791434407234192,0.02395717240869999,0.84375,0.9618942737579346
84.0,0.027519479393959045,0.49906814098358154,0.12476703524589539,0.4248627722263336,0.02124313823878765,0.9375,0.9816301465034485
85.0,0.051693692803382874,0.07701538503170013,0.019253846257925034,0.37514010071754456,0.018757006153464317,0.9375,0.9832563400268555
86.0,0.060781024396419525,0.5688785314559937,0.1422196328639984,0.4739082157611847,0.023695411160588264,0.875,0.9753739833831787
87.0,0.04143909364938736,0.40938931703567505,0.10234732925891876,0.38710612058639526,0.019355306401848793,0.8125,0.9489638805389404
88.0,0.03783323988318443,0.20949114859104156,0.05237278714776039,0.3826771080493927,0.019133856520056725,0.9375,0.9827558398246765
89.0,0.014514343813061714,0.11283046007156372,0.02820761501789093,0.3201899826526642,0.0160095002502203,0.90625,0.9734392762184143
90.0,0.0725281611084938,0.5100093483924866,0.12750233709812164,0.5382537245750427,0.026912687346339226,0.90625,0.9718338847160339
91.0,0.0076064420863986015,0.5763059258460999,0.14407648146152496,0.35648009181022644,0.01782400533556938,0.8125,0.965610146522522
92.0,0.03964880108833313,0.7946633696556091,0.19866584241390228,0.48693323135375977,0.024346662685275078,0.78125,0.9562662839889526
93.0,0.10457154363393784,0.21219834685325623,0.053049586713314056,0.4164176285266876,0.02082088217139244,0.875,0.9757283329963684
94.0,0.035970479249954224,0.3626480996608734,0.09066202491521835,0.3946906328201294,0.01973453164100647,0.78125,0.9332800507545471
95.0,0.03299187123775482,0.08815089613199234,0.022037724032998085,0.36366572976112366,0.018183287233114243,0.96875,0.992760956287384
96.0,0.022363796830177307,0.42303696274757385,0.10575924068689346,0.3631366789340973,0.018156833946704865,0.9375,0.9952104091644287
97.0,0.026464756578207016,0.3405598998069763,0.08513997495174408,0.3886299729347229,0.019431499764323235,0.875,0.9727977514266968
