experiment_id,method,target,scope,class_id,gas,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,0,Ethanol,42,340,26.196122537865882,5.8767226117709,0.23285442255880784,0.4676465756944408,2.759872592539016
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,2,Ethylene,42,340,19.222193795187138,5.742012740445819,0.17086394484610792,0.7133632121796026,2.7346250005383475
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,3,Methane,42,340,22.62299394421532,11.265527733929206,0.1005466397520681,0.9007418463030297,-1.7525960127167477
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_CC,0,Ethanol,42,336,4.785744035308463,3.1193026428634107,0.042539946980519674,0.9819130704313908,-0.034652733740281626
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_CC,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_CC,2,Ethylene,42,338,6.157457993405867,4.370663703407037,0.05473295994138548,0.9703297883330759,1.3454807697723021
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_CC,3,Methane,42,338,18.95370321588642,10.408531915196173,0.0842386809594952,0.9301245561638914,-0.8393106571718076
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_ALL,0,Ethanol,42,340,4.760258388177406,3.092531717041686,0.042313407894910275,0.9824212868482224,-0.024318302190198603
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_ALL,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_ALL,2,Ethylene,42,340,6.139321111612887,4.344953916916407,0.054571743214336776,0.9707607166359307,1.337566177008936
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_ALL,3,Methane,42,340,19.460423898088134,10.687879634655177,0.08649077288039171,0.9265535809370609,-1.1749479134427188
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_CC,0,Ethanol,42,336,4.785744035308463,3.1193026428634107,0.042539946980519674,0.9819130704313908,-0.034652733740281626
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_CC,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_CC,2,Ethylene,42,338,6.157457993405867,4.370663703407037,0.05473295994138548,0.9703297883330759,1.3454807697723021
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_CC,3,Methane,42,338,18.95370321588642,10.408531915196173,0.0842386809594952,0.9301245561638914,-0.8393106571718076
