experiment_id,target,variant,input_dimension,seed,evaluation_scope,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,ROUTE_CORRECT,673,9.996381882169791,5.866678012745854,0.977191924639647,0.057006525562892645
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,MISROUTED,7,176.47201897730397,172.15994990351913,-6.6899593101826555,1.1356765249435616
