round,c1_fit_seconds,c2_fit_seconds,fit_round_wall_seconds,server_da_seconds,server_aggregate_non_da_seconds,da_steps,fit_failures,eval_failures
1,32.437133997,59.58337963,242.61523458,165.800836371,0.065557293,100,0,0
2,41.629776007,72.707250902,236.123090295,162.680293308,0.064762438,100,0,0
3,41.564774382,75.07808321,238.698095878,163.042719897,0.064654566,100,0,0
4,41.63879725,74.150367995,237.566353484,163.042612724,0.064857383,100,0,0
5,41.580455999,74.07052873,238.494789528,164.046772989,0.068007115,100,0,0
6,41.718365479,74.358543732,238.684796773,163.978623399,0.071882028,100,0,0
7,41.580264091,72.953373241,237.968507672,164.632490616,0.072853347,100,0,0
8,41.598917297,72.318418432,236.841398732,163.988178978,0.075862697,100,0,0
9,41.796408755,73.948032107,238.07962811,163.661400153,0.085430734,100,0,0
10,41.678563996,74.317349889,237.309265573,162.658131288,0.066087402,100,0,0
11,42.257709563,75.228831515,238.916493394,163.32466322,0.067079037,100,0,0
12,41.897569934,74.54116575,238.743428522,163.825527927,0.068319594,100,0,0
13,41.714876428,74.560240201,239.496274755,164.552696961,0.0683228,100,0,0
14,41.938665903,74.754769381,238.526167451,163.420324974,0.07869637,100,0,0
15,41.795834324,76.486223611,241.44342949,164.595732872,0.08520228,100,0,0
16,41.693214588,77.371762819,242.380078348,164.383767893,0.075807144,100,0,0
17,41.763859651,75.57327536,239.517208727,163.461251734,0.077280376,100,0,0
18,42.075896254,77.494660426,247.192906222,169.279037655,0.071268625,100,0,0
19,41.761529576,87.593350229,255.814346863,167.838799983,0.070774273,100,0,0
20,41.968492338,81.288863332,251.997088309,170.352301076,0.070154306,100,0,0
21,41.842882637,79.333958898,253.864230422,174.168307216,0.070640454,100,0,0
22,41.672847847,77.896942797,253.643539737,175.410306809,0.070986873,100,0,0
23,42.08821112,85.435401351,258.287442201,172.513197159,0.073195104,100,0,0
24,42.29230886,77.8674466,261.886291712,183.69865495,0.073130227,100,0,0
25,41.934739127,85.486178326,296.219637271,210.363859541,0.07555405,100,0,0
