experiment_id,method,target,scope,seed,N,RMSE,MAE,NRMSE_range,R2,Bias
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,42,2677,10.067922773390135,5.56371026864371,0.05787243269674918,0.9770092923350118,0.1164426582036136
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_CC,42,2673,8.810072830720047,5.4157890336838275,0.05320580090646395,0.9823930999680957,0.2503062827866574
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_ALL,42,2677,9.042063005148002,5.475846587200114,0.055872301132816146,0.9814558195020043,0.3167555027124628
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_CC,42,2673,8.810072830720047,5.4157890336838275,0.05320580090646395,0.9823930999680957,0.2503062827866574
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_ALL,42,1360,15.018111883179799,6.588375944274632,0.07046969951396867,0.9487900813825803,0.2683089245278082
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_CC,42,1353,9.873931184332836,6.01187491882788,0.04756001993678461,0.9776996293490826,0.7862347511592326
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_ALL,42,1360,10.741668545113194,6.208142129071663,0.059622910956992216,0.9738020741090315,0.5600427953284324
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_CC,42,1353,9.873931184332836,6.01187491882788,0.04756001993678461,0.9776996293490826,0.7862347511592326
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,42,1360,22.155950669872233,9.12961469497456,0.1591758606815092,0.8885438098253057,1.189735999384212
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_CC,42,1352,14.302826974366546,7.898728064323801,0.0702844230252743,0.953207664179535,0.3736957110666797
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_ALL,42,1360,14.4488286458766,7.939890240591398,0.0708372702296877,0.9525988698847863,0.28883559463806247
CAN-V1-REG-A0T-C5-S42,A0T,C5,Oracle_CC,42,1352,14.302826974366546,7.898728064323801,0.0702844230252743,0.953207664179535,0.3736957110666797
CAN-V1-REG-A4-C3-S42,A4,C3,S_ALL,42,2677,9.332731018185996,5.505235803628614,0.05567242206126857,0.9802444062802769,0.2403032491643125
CAN-V1-REG-A4-C3-S42,A4,C3,S_CC,42,2673,8.847882775708216,5.4291174515296285,0.05332959146434775,0.9822465987650791,0.262523088708933
CAN-V1-REG-A4-C3-S42,A4,C3,Oracle_ALL,42,2677,9.042063005148002,5.475846587200114,0.055872301132816146,0.9814558195020043,0.3167555027124628
CAN-V1-REG-A4-C3-S42,A4,C3,Oracle_CC,42,2673,8.847882775708216,5.4291174515296285,0.05332959146434775,0.9822465987650791,0.262523088708933
CAN-V1-REG-A4-C4-S42,A4,C4,S_ALL,42,1360,13.807982479383819,6.4781853906313085,0.06831368580337005,0.9567103704490922,0.3835650029443429
CAN-V1-REG-A4-C4-S42,A4,C4,S_CC,42,1357,10.245243970279986,6.095584091539574,0.05290771317644738,0.9760454071196198,0.6875636587803454
CAN-V1-REG-A4-C4-S42,A4,C4,Oracle_ALL,42,1360,10.741668545113194,6.208142129071663,0.059622910956992216,0.9738020741090315,0.5600427953284324
CAN-V1-REG-A4-C4-S42,A4,C4,Oracle_CC,42,1357,10.245243970279986,6.095584091539574,0.05290771317644738,0.9760454071196198,0.6875636587803454
CAN-V1-REG-A4-C5-S42,A4,C5,S_ALL,42,1360,18.47654027252635,8.673732588501265,0.09464561738913281,0.9224887535669838,-0.08481937677956675
CAN-V1-REG-A4-C5-S42,A4,C5,S_CC,42,1352,14.333984910928306,7.87468985071161,0.0704091367634356,0.9528624688685121,0.32125835042855905
CAN-V1-REG-A4-C5-S42,A4,C5,Oracle_ALL,42,1360,14.4488286458766,7.939890240591398,0.0708372702296877,0.9525988698847863,0.28883559463806247
CAN-V1-REG-A4-C5-S42,A4,C5,Oracle_CC,42,1352,14.333984910928306,7.87468985071161,0.0704091367634356,0.9528624688685121,0.32125835042855905
