method,target,routing_gap,regression_gap,paired_regression_gap,RMSE_S_ALL,RMSE_S_CC,RMSE_Oracle_ALL,RMSE_Oracle_CC,unit,seed
A0T,C3,1.257849942670088,-0.23199017442795444,0.0,10.067922773390135,8.810072830720047,9.042063005148002,8.810072830720047,ppm,42
A0T,C4,5.144180698846963,-0.8677373607803585,0.0,15.018111883179799,9.873931184332836,10.741668545113194,9.873931184332836,ppm,42
A0T,C5,7.853123695505687,-0.14600167151005472,0.0,22.155950669872233,14.302826974366546,14.4488286458766,14.302826974366546,ppm,42
A0T,POOLED_C3_C4_C5,4.490472745440259,-0.3540715180478671,0.0,15.192505141473129,10.70203239603287,11.056103914080737,10.70203239603287,ppm,42
A4,C3,0.4848482424777796,-0.19418022943978563,0.0,9.332731018185996,8.847882775708216,9.042063005148002,8.847882775708216,ppm,42
A4,C4,3.5627385091038324,-0.4964245748332079,0.0,13.807982479383819,10.245243970279986,10.741668545113194,10.245243970279986,ppm,42
A4,C5,4.142555361598044,-0.1148437349482947,0.0,18.47654027252635,14.333984910928306,14.4488286458766,14.333984910928306,ppm,42
A4,POOLED_C3_C4_C5,2.499595058246431,-0.2412919909655482,0.0,13.31440698136162,10.814811923115188,11.056103914080737,10.814811923115188,ppm,42
