experiment_id,method,target,scope,class_id,gas,seed,N,RMSE,MAE,NRMSE_range,R2,Bias,A4_minus_A0T_RMSE,unit,calculation_status
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,0,Ethanol,42,670,7.055720036478466,5.515853591902374,0.06271751143536414,0.9613803169100306,0.2679757710144995,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,1,CO,42,667,16.94389289778423,9.235327474406157,0.0753061906568188,0.9445424961808632,-0.09347410407027493,-1.854596527101478,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,2,Ethylene,42,670,6.4059757121917755,3.9504979123072217,0.05694200633059356,0.9681656049840943,-0.13043347950588977,0.16595092897668273,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_ALL,3,Methane,42,670,5.326227283356914,3.5696021729998146,0.023672121259364062,0.9944981920826229,0.42076251957489263,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_CC,0,Ethanol,42,670,7.055720036478466,5.515853591902374,0.06271751143536414,0.9613803169100306,0.2679757710144995,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_CC,1,CO,42,665,13.977974234276006,8.73678710590813,0.06212432993011559,0.9623134462576204,0.43256056027838624,0.0956678226750931,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_CC,2,Ethylene,42,668,6.139508542037521,3.861055837011228,0.05457340926255574,0.9708329946914674,-0.11981846316060553,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,S_CC,3,Methane,42,670,5.326227283356914,3.5696021729998146,0.023672121259364062,0.9944981920826229,0.42076251957489263,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_ALL,0,Ethanol,42,670,7.055720036478466,5.515853591902374,0.06271751143536414,0.9613803169100306,0.2679757710144995,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_ALL,1,CO,42,667,14.056870553832713,8.777961997491362,0.0624749802392565,0.9618309620526778,0.49331118359468407,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_ALL,2,Ethylene,42,670,7.197693609866954,4.054754177796268,0.06397949875437293,0.9598104876206394,0.08576308449061999,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_ALL,3,Methane,42,670,5.326227283356914,3.5696021729998146,0.023672121259364062,0.9944981920826229,0.42076251957489263,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_CC,0,Ethanol,42,670,7.055720036478466,5.515853591902374,0.06271751143536414,0.9613803169100306,0.2679757710144995,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_CC,1,CO,42,665,13.977974234276006,8.73678710590813,0.06212432993011559,0.9623134462576204,0.43256056027838624,0.0956678226750931,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_CC,2,Ethylene,42,668,6.139508542037521,3.861055837011228,0.05457340926255574,0.9708329946914674,-0.11981846316060553,0.0,ppm,recomputed
CAN-V1-REG-A0T-C3-S42,A0T,C3,Oracle_CC,3,Methane,42,670,5.326227283356914,3.5696021729998146,0.023672121259364062,0.9944981920826229,0.42076251957489263,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_ALL,0,Ethanol,42,340,5.105789542988242,2.7998036404677675,0.04538479593767326,0.9797767083773765,0.48648539261715684,2.1318126059154023,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_ALL,1,CO,42,340,27.53249347428857,14.054991218172924,0.12236663766350477,0.8529865315080256,-0.3719783449233646,-3.1975149173990403,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_ALL,2,Ethylene,42,340,2.8999228482317982,2.1188311648617777,0.02577709198428265,0.9934762259194594,-0.3872797846360464,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_ALL,3,Methane,42,340,10.471766892368139,7.379877753596057,0.04654118618830284,0.9787330129749144,1.346008435053487,0.0,ppm,recomputed
