experiment_id,method,target,scope,seed,N,RMSE,MAE,NRMSE_range,R2,Bias,unit,checkpoint_sha256,calculation_status,A4_minus_A0T_RMSE,comparison_peer_N
CAN-V1-REG-A4-C3-S42,A4,C3,Oracle_ALL,42,2677,9.042063005148002,5.475846587200114,0.055872301132816146,0.9814558195020043,0.3167555027124628,ppm,e2364290ffc7fd9748fe86edb3745dca0eac692165f6c8aba1825728ddcd4414,recomputed,0.0,2677
CAN-V1-REG-A4-C3-S42,A4,C3,Oracle_CC,42,2673,8.847882775708216,5.4291174515296285,0.05332959146434775,0.9822465987650791,0.262523088708933,ppm,e2364290ffc7fd9748fe86edb3745dca0eac692165f6c8aba1825728ddcd4414,recomputed,0.03780994498816881,2673
CAN-V1-REG-A4-C4-S42,A4,C4,S_ALL,42,1360,13.807982479383819,6.4781853906313085,0.06831368580337005,0.9567103704490922,0.3835650029443429,ppm,422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,recomputed,-1.21012940379598,1360
CAN-V1-REG-A4-C4-S42,A4,C4,S_CC,42,1357,10.245243970279986,6.095584091539574,0.05290771317644738,0.9760454071196198,0.6875636587803454,ppm,422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,recomputed,0.37131278594715056,1353
CAN-V1-REG-A4-C4-S42,A4,C4,Oracle_ALL,42,1360,10.741668545113194,6.208142129071663,0.059622910956992216,0.9738020741090315,0.5600427953284324,ppm,422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,recomputed,0.0,1360
CAN-V1-REG-A4-C4-S42,A4,C4,Oracle_CC,42,1357,10.245243970279986,6.095584091539574,0.05290771317644738,0.9760454071196198,0.6875636587803454,ppm,422a49f28331e5486d215a8d34bc9a972dc8fc1992f8b5bf27428329143599c3,recomputed,0.37131278594715056,1353
CAN-V1-REG-A4-C5-S42,A4,C5,S_ALL,42,1360,18.47654027252635,8.673732588501265,0.09464561738913281,0.9224887535669838,-0.08481937677956675,ppm,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,recomputed,-3.679410397345883,1360
CAN-V1-REG-A4-C5-S42,A4,C5,S_CC,42,1352,14.333984910928306,7.87468985071161,0.0704091367634356,0.9528624688685121,0.32125835042855905,ppm,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,recomputed,0.031157936561760025,1352
CAN-V1-REG-A4-C5-S42,A4,C5,Oracle_ALL,42,1360,14.4488286458766,7.939890240591398,0.0708372702296877,0.9525988698847863,0.28883559463806247,ppm,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,recomputed,0.0,1360
CAN-V1-REG-A4-C5-S42,A4,C5,Oracle_CC,42,1352,14.333984910928306,7.87468985071161,0.0704091367634356,0.9528624688685121,0.32125835042855905,ppm,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93,recomputed,0.031157936561760025,1352
CAN-V1-REG-A4-POOLED-S42,A4,POOLED_C3_C4_C5,S_ALL,42,5397,13.31440698136162,6.548846525464906,0.07050275399003958,0.9597706154108141,0.19447579203204737,ppm,target_specific;see experiment_registry.csv,recomputed_by_record_concatenation,-1.8780981601115094,5397
CAN-V1-REG-A4-POOLED-S42,A4,POOLED_C3_C4_C5,S_CC,42,5382,10.814811923115188,6.211504875198809,0.05799696091682898,0.9733566665202182,0.3844461893094237,ppm,target_specific;see experiment_registry.csv,recomputed_by_record_concatenation,0.11277952708231886,5378
CAN-V1-REG-A4-POOLED-S42,A4,POOLED_C3_C4_C5,Oracle_ALL,42,5397,11.056103914080737,6.281298005683986,0.06089909179925481,0.9722601596680099,0.37102632779612665,ppm,target_specific;see experiment_registry.csv,recomputed_by_record_concatenation,0.0,5397
CAN-V1-REG-A4-POOLED-S42,A4,POOLED_C3_C4_C5,Oracle_CC,42,5382,10.814811923115188,6.211504875198809,0.05799696091682898,0.9733566665202182,0.3844461893094237,ppm,target_specific;see experiment_registry.csv,recomputed_by_record_concatenation,0.11277952708231886,5378
