route_group,candidate,N,RMSE,MAE,Bias,P90AE,Under50Rate
pred_CO,baseline,85,20.840649777699902,16.737252491361954,5.280750937321606,35.381762385368354,0.0
pred_CO,h2_3,85,19.699771758964292,13.597801087119192,-7.036656484904058,38.41333309216624,0.0
pred_CO,source_aug,85,15.050867340174936,11.69197167484263,-0.9364230084637086,23.00216507702895,0.0
pred_CO,h8,85,15.050867340174936,11.69197167484263,-0.9364230084637086,23.00216507702895,0.0
pred_nonCO,baseline,17,228.77517562700706,228.40427764253144,-228.40427764253144,234.1358821745962,1.0
pred_nonCO,h2_3,17,71.37890576968177,25.762438727723193,-22.821262257134958,90.00000000000006,0.11764705882352941
pred_nonCO,source_aug,17,73.63962328561342,26.470588235294116,-23.529411764705884,90.00000000000006,0.11764705882352941
pred_nonCO,h8,17,71.37890576968177,25.762438727723193,-22.821262257134958,90.00000000000006,0.11764705882352941
