filename,candidate,N,RMSE,MAE,Bias,P90AE,Under50Rate
B4_GCO_F080_R1.txt,baseline,16,25.84221970547424,23.127883765846487,21.765503007918593,36.0455259680748,0.0
B4_GCO_F080_R1.txt,h2_3,16,8.28359371353064,6.228714838622688,2.2788103684690473,11.647620313036143,0.0
B4_GCO_F080_R1.txt,source_aug,16,13.015866208577853,10.679270864597822,7.784369202552234,19.412144648762933,0.0
B4_GCO_F080_R1.txt,h8,16,13.015866208577853,10.679270864597822,7.784369202552234,19.412144648762933,0.0
B4_GCO_F080_R2.txt,baseline,18,48.87713573942825,30.202855149077045,5.077684443030096,36.86272755265238,0.05555555555555555
B4_GCO_F080_R2.txt,h2_3,18,45.696561902918305,19.6402545848839,-5.403573493598851,25.473034537268795,0.05555555555555555
B4_GCO_F080_R2.txt,source_aug,18,45.16382076032164,18.424338055650466,-5.32661771012714,15.56647848670821,0.05555555555555555
B4_GCO_F080_R2.txt,h8,18,45.16382076032164,18.424338055650466,-5.32661771012714,15.56647848670821,0.05555555555555555
B4_GCO_F090_R1.txt,baseline,15,10.416464620984025,9.35701936483383,5.626997053623198,16.093517243862152,0.0
B4_GCO_F090_R1.txt,h2_3,15,6.449881011757837,5.165881862882563,-4.000139418341941,11.084634745417684,0.0
B4_GCO_F090_R1.txt,source_aug,15,6.482462372015603,4.703746253985046,1.170146796585082,7.880373848214668,0.0
B4_GCO_F090_R1.txt,h8,15,6.482462372015603,4.703746253985046,1.170146796585082,7.880373848214668,0.0
B4_GCO_F090_R2.txt,baseline,19,49.89663870513142,22.009435771523332,-6.56595450188769,21.636544167995435,0.05263157894736842
B4_GCO_F090_R2.txt,h2_3,19,13.716174676240026,10.515249497807543,-0.10311836288236452,19.40223009366079,0.0
B4_GCO_F090_R2.txt,source_aug,19,13.67792617008147,11.696487530340306,6.4580405533352625,21.276654483605668,0.0
B4_GCO_F090_R2.txt,h8,19,13.67792617008147,11.696487530340306,6.4580405533352625,21.276654483605668,0.0
B4_GCO_F100_R1.txt,baseline,16,62.20536788690549,29.678517355932843,-29.678517355932843,50.6172738969326,0.0625
B4_GCO_F100_R1.txt,h2_3,16,68.91794215896681,51.151927634490214,-51.151927634490214,55.93352241634403,0.0625
B4_GCO_F100_R1.txt,source_aug,16,64.95572536486044,38.71637680183884,-38.71637680183884,44.12151349993799,0.0625
B4_GCO_F100_R1.txt,h8,16,62.21663731155118,37.96396795004473,-37.96396795004473,44.12151349993799,0.0625
B4_GCO_F100_R2.txt,baseline,18,205.7689519082005,186.5806000514163,-186.5806000514163,234.13359022699296,0.7777777777777778
B4_GCO_F100_R2.txt,h2_3,18,6.335439025558556,2.49342890428485,-2.49342890428485,11.43894226611706,0.0
B4_GCO_F100_R2.txt,source_aug,18,4.236429709593624,1.6144271005937345,-1.6144271005937345,6.687034571735144,0.0
B4_GCO_F100_R2.txt,h8,18,4.236429709593624,1.6144271005937345,-1.6144271005937345,6.687034571735144,0.0
