candidate,N,RMSE,MAE,Bias,P90AE,Under50Rate
baseline,102,95.31504288319486,52.01509001655687,-33.666753825987236,233.80422707181424,0.16666666666666666
h2_3,102,34.24264696168007,15.625240693886527,-9.66742411360921,39.4232923475208,0.0196078431372549
source_aug,102,33.054089903532315,14.155074434917879,-4.701921134504071,24.693753628856896,0.0196078431372549
h8,102,32.21695006083711,14.037049516989395,-4.583896216575582,24.693753628856896,0.0196078431372549
