variant,prediction_key,input_dimension,evaluation_scope,N,RMSE,MAE,R2,NRMSE
R83_TARGET_ONLY,pred_83d_ppm,83,ROUTE_CORRECT,1351,14.306173477717465,8.489618014551729,0.9536130652239915,0.07805119011693845
R83_TARGET_ONLY,pred_83d_ppm,83,MISROUTED,9,89.78168647900984,67.9834609121968,-4.158880785289739,0.792237087696726
R84_FED_H1,pred_84d_h1_ppm,84,ROUTE_CORRECT,1351,11.461941642656669,6.8531820557210645,0.970224086963843,0.06805896788186593
R84_FED_H1,pred_84d_h1_ppm,84,MISROUTED,9,72.45752525628853,47.64824739834637,-2.360059498410042,0.6368382063273816
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,ROUTE_CORRECT,1351,11.373017345011206,6.809045808437037,0.9706843110892358,0.06645962540697432
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,MISROUTED,9,70.29178926812494,51.48956460673095,-2.1621988086492703,0.6173618512580761
