variant,profile,uses_H1,class_id,gas,seed_count,RMSE_mean,RMSE_sample_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_sample_std,MAE_median,MAE_min,MAE_max,NRMSE_mean,NRMSE_sample_std,NRMSE_median,NRMSE_min,NRMSE_max
M104_FULL__H1,M104_FULL,1,0,Ethanol,5,17.240755089360185,7.22925961519179,18.44326170908522,9.380607227619697,26.065823662228386,6.457177753835836,1.3111496157488791,6.788469592770231,5.071378372314424,8.194343388229077,0.1532511563498683,0.06426008546837148,0.16394010408075751,0.08338317535661952,0.231696210330919
M104_FULL__H1,M104_FULL,1,1,CO,5,18.42501211415736,3.393707204965771,15.962721684791092,15.962721684791092,22.6649997607787,12.222159854551794,0.6252773034470372,11.766207754650084,11.766207754650084,12.954536143110312,0.08188894272958828,0.01508314313318121,0.07094542971018263,0.07094542971018263,0.10073333227012755
M104_FULL__H1,M104_FULL,1,2,Ethylene,5,22.506446107194485,8.19224696018697,19.40185985121675,15.67028913954315,35.50515710000028,6.925121565732144,1.7207341690703692,6.181419375452957,5.593189771589538,9.787887325100359,0.2000572987306176,0.07281997297943975,0.17246097645525998,0.1392914590181613,0.31560139644444696
M104_FULL__H1,M104_FULL,1,3,Methane,5,13.419254806047306,1.534077381938657,13.291480461589469,11.432741163337576,15.748851834107727,6.550315968885532,0.2037255309536332,6.582871945429199,6.215224886605669,6.772386490380155,0.059641132471321356,0.006818121697505142,0.0590732464959532,0.05081218294816701,0.06999489704047879
M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,5,18.920255672968125,7.149085899198523,19.590914807229858,11.629753178908167,27.805169621575235,6.757717710837144,1.4140388057595907,6.9699641895883016,5.351915805126735,8.656282741413326,0.1681800504263833,0.06354743021509797,0.1741414649531543,0.10337558381251703,0.24715706330289092
M104_FULL__NO_H1,M104_FULL,0,1,CO,5,24.550440149780506,2.468528965052897,22.75323491722763,22.75323491722763,27.520055545853058,18.14186827771672,0.5862962345417727,17.713698182329818,17.713698182329818,18.784782653011387,0.10911306733235779,0.010971239844679542,0.10112548852101168,0.10112548852101168,0.12231135798156913
M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,5,21.449024646780373,6.8043930727136,19.279452972961174,15.494935066716753,30.78803881153465,6.9000450969332565,1.5927521661166784,6.323075937519062,5.536619680960647,9.326291861100493,0.19065799686027,0.06048349397967644,0.17137291531521043,0.13773275614859334,0.27367145610253024
M104_FULL__NO_H1,M104_FULL,0,3,Methane,5,14.443465916542333,1.4315197727960378,14.326637945837332,12.62127855956618,16.641021117849622,7.132547519120425,0.2092836975667739,7.165323123324176,6.797676064500646,7.378213487068072,0.06419318185129926,0.006362310101315719,0.06367394642594369,0.05609457137584969,0.07396009385710942
M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,5,17.24075509113236,7.229259618459257,18.443261706949034,9.380607227619555,26.065823673225523,6.457177754302118,1.3111496172344148,6.788469590113265,5.071378372313654,8.194343393219704,0.153251156365621,0.06426008549741563,0.1639401040617692,0.08338317535661827,0.2316962104286713
M83_SENSOR__H1,M83_SENSOR,1,1,CO,5,18.4250121141599,3.3937072049671695,15.962721684792756,15.962721684792756,22.66499976078517,12.222159854553828,0.6252773034471891,11.766207754652013,11.766207754652013,12.954536143112797,0.08188894272959955,0.015083143133187413,0.07094542971019004,0.07094542971019004,0.10073333227015632
M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,5,22.506446113894203,8.192246958205004,19.401859858341766,15.670289148304189,35.50515710393208,6.925121575611847,1.720734169180182,6.181419385309744,5.593189781368011,9.787887335228833,0.2000572987901707,0.07281997296182226,0.17246097651859352,0.13929145909603727,0.3156013964793963
M83_SENSOR__H1,M83_SENSOR,1,3,Methane,5,13.419254806045917,1.5340773819387579,13.291480461587945,11.432741163335804,15.748851834106288,6.550315968888282,0.20372553095359092,6.5828719454319256,6.215224886608397,6.772386490382654,0.05964113247131518,0.006818121697505589,0.05907324649594642,0.05081218294815913,0.06999489704047239
M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,5,18.920255675274937,7.149085902831781,19.590914807056183,11.629753178908443,27.805169633282528,6.75771771195503,1.4140388077023462,6.969964189360058,5.3519158051278115,8.65628274722788,0.16818005044688833,0.06354743024739361,0.1741414649516105,0.1033755838125195,0.24715706340695578
M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,5,24.55044016098708,2.468528981904572,22.753234917227676,22.753234917227676,27.52005560188575,18.141868279224223,0.5862962366080349,17.713698182329885,17.713698182329885,18.784782660548643,0.1091130673821648,0.01097123991957588,0.10112548852101189,0.10112548852101189,0.12231135823060332
M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,5,21.449024638972645,6.804393083111467,19.279452975366954,15.49493506970065,30.788038813062197,6.900045095485024,1.5927521705904066,6.323075940243442,5.536619662949407,9.326291863959316,0.19065799679086798,0.06048349407210196,0.17137291533659516,0.13773275617511688,0.2736714561161085
M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,5,14.443465977123989,1.4315197667846131,14.326638006834715,12.621278628805396,16.641021169927004,7.132547577818636,0.20928369673701577,7.165323182683805,6.797676123860276,7.378213543651306,0.06419318212055107,0.006362310074598281,0.06367394669704318,0.056094571683579536,0.07396009408856447
