variant,profile,uses_H1,input_dimension,seed_count,S_ALL_RMSE_mean,S_ALL_RMSE_sample_std,S_ALL_RMSE_median,S_ALL_RMSE_min,S_ALL_RMSE_max,S_ALL_MAE_mean,S_ALL_MAE_sample_std,S_ALL_MAE_median,S_ALL_MAE_min,S_ALL_MAE_max,S_ALL_NRMSE_mean,S_ALL_NRMSE_sample_std,S_ALL_NRMSE_median,S_ALL_NRMSE_min,S_ALL_NRMSE_max,S_CC_RMSE_mean,S_CC_RMSE_sample_std,S_CC_RMSE_median,S_CC_RMSE_min,S_CC_RMSE_max,S_CC_MAE_mean,S_CC_MAE_sample_std,S_CC_MAE_median,S_CC_MAE_min,S_CC_MAE_max,S_CC_NRMSE_mean,S_CC_NRMSE_sample_std,S_CC_NRMSE_median,S_CC_NRMSE_min,S_CC_NRMSE_max
M104_FULL__H1,M104_FULL,1,105,5,18.508025099989627,4.321091024495153,17.5643954250521,13.871307695837194,25.648978143013927,8.038693785751327,0.799704197487157,7.884879325289563,7.2561395358551115,9.383747858255797,0.13823315645447914,0.03993337099090116,0.13010201758383047,0.09742518935058737,0.20429475620109924,11.633858261113179,0.31420278202193447,11.462067079839205,11.341598573023923,11.991559792766576,6.867318163834236,0.06882412748219603,6.851946088367303,6.777275530305491,6.940692607992286,0.06832444226852293,0.001442578723485381,0.06805737243265196,0.06649953602494117,0.06989301115079226
M104_FULL__NO_H1,M104_FULL,0,104,5,20.466785092454842,3.457738011090145,20.09651441145291,16.268914829284444,25.898476869586858,9.733044651151886,0.763838493993849,9.61384279561397,8.888902508176379,10.980889763227566,0.1442935262794909,0.033841732289670495,0.14190969854720237,0.10432196886467732,0.1968394318532585,14.454631096309683,0.26209995452396645,14.320405210805212,14.201930380221318,14.755509177799803,8.516865999289617,0.07236855571800078,8.506437438954203,8.421072747144395,8.591322017177829,0.07832208038453506,0.001295175562749444,0.07810032406791073,0.07667358415854973,0.07973525054439691
M83_SENSOR__H1,M83_SENSOR,1,84,5,18.508025102370084,4.3210910252942965,17.564395426980973,13.871307698330659,25.648978147169903,8.038693788339017,0.7997041980577542,7.884879327754762,7.25613953833806,9.38374786203696,0.13823315647959236,0.03993337099801954,0.13010201760440537,0.09742518937863716,0.20429475624231616,11.633858264108923,0.31420278193504125,11.462067082816363,11.34159857616354,11.991559795669913,6.867318166332495,0.06882412744956289,6.8519460908128265,6.777275532889953,6.940692610477492,0.06832444230881837,0.0014425787223892703,0.06805737247226838,0.0664995360672458,0.0698930111901491
M83_SENSOR__NO_H1,M83_SENSOR,0,83,5,20.466785105487975,3.4577380167931957,20.096514422790904,16.268914843423783,25.898476896296117,9.73304466612073,0.7638384955760578,9.613842805894027,8.88890252368507,10.980889781987457,0.14429352630744202,0.03384173232141695,0.1419096985835948,0.10432196891479949,0.19683943195071407,14.454631112295823,0.2620999543294273,14.320405226834312,14.201930396373939,14.755509193594245,8.516866014803426,0.07236855574009567,8.506437453837972,8.421072762878968,8.59132203282568,0.0783220804516026,0.0012951755618749315,0.07810032413452762,0.07667358422692085,0.07973525061066991
M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,5,18.508025100926112,4.321091025012187,17.564395425591222,13.871307696588255,25.648978144986522,8.038693786835571,0.7997041977680757,7.884879326257023,7.256139536765382,9.383747859831104,0.13823315646433051,0.039933370995529446,0.13010201758957687,0.09742518935903033,0.2042947562206531,11.633858261993423,0.3142027820069382,11.46206708067077,11.34159857393986,11.991559793614051,6.867318164723028,0.06882412750584338,6.851946089179623,6.777275531180231,6.940692608967556,0.06832444228035564,0.0014425787232603127,0.06805737244370924,0.06649953603727263,0.06989301116227203
M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,5,20.466785100122852,3.4577380123133272,20.096514418523867,16.26891483811103,25.89847688074238,9.733044659909206,0.7638384944894687,9.613842802858192,8.888902517156705,10.980889773194562,0.14429352630964312,0.03384173229302391,0.14190969857983232,0.10432196890971068,0.19683943189511727,14.454631106446346,0.2620999542149655,14.32040522080181,14.20193039109489,14.7555091876673,8.516866008340992,0.07236855564713757,8.506437447639861,8.421072756512123,8.591322026224278,0.07832208044542725,0.0012951755610023088,0.07810032412764033,0.07667358422313858,0.07973525060411804
