metric,replicates,mean,median,ci95_low,ci95_high,probability_negative
a4_minus_a0t_rmse,2000,-3.523903723441437,-3.347954385918925,-11.202360913644101,3.3128172323051706,0.83
a4_minus_a0t_mean_excess_squared_error,2000,-150.08189174382696,-133.5607544694151,-516.8604779942463,118.5588406331964,0.83
