replicate,sampled_file_count,sampled_window_count,a4_minus_a0t_rmse,a4_minus_a0t_mean_excess_squared_error
0,80,1371,-8.884487446178941,-367.2085374941894
1,80,1375,-2.921990805970321,-121.4332558782057
2,80,1343,2.9723094943162245,108.13559131219802
3,80,1358,-3.1486967770198397,-99.14864923887346
4,80,1360,-7.117729315991454,-294.28551453018724
5,80,1376,1.4492604603027726,43.80086055162503
6,80,1353,0.662655138257012,26.578577495752228
7,80,1349,0.6536977408988882,24.293007698400515
8,80,1372,1.6937979687554297,66.45778381810179
9,80,1334,-6.061058858983831,-248.4743267222926
10,80,1373,-0.883495770530363,-36.73899412978153
11,80,1373,-6.667586668083755,-244.55523129630245
12,80,1387,-1.5580798864746122,-44.84373983091601
13,80,1360,0.7679267454873333,24.53473698530469
14,80,1356,-8.382333783895284,-314.40467400387575
15,80,1368,0.0816710163836305,3.1410766041000073
16,80,1367,-3.4917433666702884,-129.64840311201405
17,80,1336,-3.2721042446763455,-150.2122148329479
18,80,1372,-9.017611317255252,-434.1811544524431
19,80,1369,0.38450782337774925,15.78940625974198
20,80,1360,-6.152314249122881,-270.2474669478894
21,80,1359,-3.0344349910075614,-117.5442740092307
22,80,1374,3.853061117647467,119.42187586404171
23,80,1389,0.33856565835958463,14.088048884920823
24,80,1351,-11.133902407830103,-566.4132517627452
25,80,1372,-7.423871210359094,-278.64629836097924
26,80,1371,-5.667022289628704,-222.96366595070714
27,80,1357,-7.537979340355367,-316.799571583544
28,80,1371,-4.151405815384155,-178.95900578035878
29,80,1368,-8.319679108206913,-400.4000725634537
30,80,1368,-0.6370988179125021,-26.718995570348937
31,80,1363,-1.4758028982724802,-57.505154364672734
32,80,1370,-5.673578213015919,-232.6568454701185
33,80,1369,-4.130572727857892,-140.7212803726428
34,80,1358,-0.6784984387310402,-30.51774621768908
35,80,1365,-6.549848594599714,-246.26748100575378
36,80,1381,4.6291625661314875,172.23925701415362
37,80,1339,-4.091662278744488,-136.5857883450909
38,80,1381,-2.7769162543795325,-117.60319411325113
39,80,1351,-3.0381291020228396,-117.95224034738442
40,80,1364,0.617038810870735,25.465475424436818
41,80,1382,-5.926523200729369,-201.02974618735243
42,80,1351,-3.44932698914155,-144.88018365989856
43,80,1364,1.0145909707296106,35.54682736702445
44,80,1371,-8.713719310534653,-376.19525500917257
45,80,1363,-7.440638188800456,-249.12265705475525
46,80,1363,-1.9207216019765987,-63.90420303940275
47,80,1382,-1.6227425135133586,-65.84239858643119
48,80,1348,-5.986601413102747,-255.31447169479347
49,80,1362,-4.304177660428216,-162.688383599875
50,80,1358,-7.198610585462678,-306.091189005616
51,80,1367,-0.8077500198671643,-33.02818012586782
52,80,1356,-10.30268501883194,-476.073331393245
53,80,1339,-1.4348417785377485,-56.409137801318394
54,80,1361,-7.987527793094102,-354.8074504304803
55,80,1362,-5.8404660800775865,-260.26941124685965
56,80,1359,-5.905468662642253,-275.57474684336546
57,80,1366,-3.054059627092318,-105.3486456808199
58,80,1350,-3.415168077751858,-126.39583974230752
59,80,1357,-7.853076688968098,-323.4564508158728
60,80,1352,4.2177597679738295,145.4367229235256
61,80,1355,-8.860882476482999,-405.26969341569696
62,80,1359,-5.47031466088713,-279.5531923849431
63,80,1351,-5.914466456639104,-224.18077779182715
64,80,1362,-6.053935631985222,-251.176034033135
65,80,1351,-6.196006611256738,-264.12217170371076
66,80,1360,-2.385609062942347,-77.77288845151645
67,80,1364,-10.256759953580227,-396.92013707966095
68,80,1354,-4.64686762768083,-227.67170055013278
69,80,1356,1.8964487526982623,80.77867585261751
70,80,1353,-2.538994372473404,-104.73469614129218
71,80,1364,-4.95071832164815,-207.0276363719963
72,80,1349,-1.446517309968975,-50.679278229527355
73,80,1355,-6.3508861839240645,-280.54842581855735
74,80,1341,-10.991568986040082,-482.76641063254806
75,80,1367,0.06138925708617293,2.575834693681003
76,80,1369,-5.544783688072844,-251.69836890412836
77,80,1354,-0.0684458730215809,-2.5778220616269323
78,80,1364,-2.9711546349670357,-137.38320553389514
79,80,1354,-5.9039656706888195,-193.5901713554787
80,80,1366,1.0622842475437224,46.657265418748864
81,80,1360,-8.563586447524859,-356.5837471008483
82,80,1382,0.37915250983472504,17.765416680911187
83,80,1352,-6.01212304245044,-271.69455908222506
84,80,1389,-3.781784724748082,-150.48692238391268
85,80,1371,-2.8215367431147804,-118.31156212249402
86,80,1344,-5.26651067725906,-214.47710999263438
87,80,1375,-3.1093673821738133,-89.88642105983979
88,80,1347,-7.206620345620816,-308.94386333099317
89,80,1366,-5.173249088086944,-220.53313950870523
90,80,1374,-0.6046588411713429,-22.604454789840304
91,80,1365,-7.213263930204938,-316.4074046856688
92,80,1371,-3.4598129280570404,-146.16387414304054
