replicate,track,nominal_budget,seed,gas_id,gas,alpha,selection_RMSE,validation_N
4,H,40,2026072504,1,CO,0.1,109.52069611770911,2
4,H,40,2026072504,1,CO,1.0,109.57541785543275,2
4,H,40,2026072504,1,CO,10.0,108.54475756044182,2
4,H,40,2026072504,1,CO,100.0,97.77400367306261,2
4,H,40,2026072504,1,CO,1000.0,86.12407871374577,2
4,H,40,2026072504,2,Ethylene,0.0,4.987927726399519,3
4,H,40,2026072504,2,Ethylene,0.01,4.981227223385375,3
4,H,40,2026072504,2,Ethylene,0.1,4.924174272733996,3
4,H,40,2026072504,2,Ethylene,1.0,4.560512128643351,3
4,H,40,2026072504,2,Ethylene,10.0,4.4476839949147795,3
4,H,40,2026072504,2,Ethylene,100.0,13.162891304035902,3
4,H,40,2026072504,2,Ethylene,1000.0,30.272278260807436,3
4,H,40,2026072504,3,Methane,0.0,20.896122843832547,2
4,H,40,2026072504,3,Methane,0.01,20.778414946439735,2
4,H,40,2026072504,3,Methane,0.1,19.74220432653268,2
4,H,40,2026072504,3,Methane,1.0,11.259613290997205,2
4,H,40,2026072504,3,Methane,10.0,34.67906497237,2
4,H,40,2026072504,3,Methane,100.0,65.69721272298531,2
4,H,40,2026072504,3,Methane,1000.0,68.93818473278942,2
