experiment_id,source_clients,target_clients,split_protocol,model,seed,status,result_path,notes
CAN-V1-R2V2-RESIDUAL,C1;C2,C3;C4;C5,canonical-v1 role-aware 20:80,RESIDUAL_TRANSFER,42,completed,results/iotj_canonical_v1_final/canonical_r2_transfer_safe_v2_20260812/,not retained; authoritative v2
CAN-V1-R2V2-SHRINKAGE,C1;C2,C3;C4;C5,canonical-v1 role-aware 20:80,SHRINKAGE_TRANSFER,42,completed,results/iotj_canonical_v1_final/canonical_r2_transfer_safe_v2_20260812/,not retained; authoritative v2
