step,target_ce,target_accuracy
1.0,4.3328094482421875,0.40625
2.0,2.6479198932647705,0.59375
3.0,4.113312244415283,0.4375
4.0,3.1172633171081543,0.53125
5.0,3.139768123626709,0.53125
6.0,1.661169409751892,0.6875
7.0,1.7415660619735718,0.6875
8.0,1.427301287651062,0.71875
9.0,1.5754088163375854,0.75
10.0,0.7687073945999146,0.875
11.0,0.7112271189689636,0.84375
12.0,1.6883379220962524,0.75
13.0,0.2574104368686676,0.96875
14.0,0.6715178489685059,0.8125
15.0,0.1714557558298111,0.9375
16.0,0.13140098750591278,0.96875
17.0,0.7815052270889282,0.8125
18.0,0.0027667894028127193,1.0
19.0,0.050621602684259415,0.96875
20.0,0.28688105940818787,0.9375
21.0,0.8933957815170288,0.75
22.0,0.4626975953578949,0.90625
23.0,0.004057751968502998,1.0
24.0,0.31227055191993713,0.9375
25.0,0.385885089635849,0.9375
26.0,0.02378219924867153,1.0
27.0,0.002233043545857072,1.0
28.0,0.25010979175567627,0.96875
29.0,0.0038659151177853346,1.0
30.0,0.2150985151529312,0.9375
31.0,0.24397985637187958,0.96875
32.0,0.09102841466665268,0.96875
33.0,0.0025335841346532106,1.0
34.0,0.29648303985595703,0.9375
35.0,0.006537031847983599,1.0
36.0,0.0017789583653211594,1.0
37.0,0.22880065441131592,0.96875
38.0,0.041383471339941025,0.96875
39.0,0.0021374854259192944,1.0
40.0,0.023590033873915672,1.0
41.0,0.22141410410404205,0.96875
42.0,0.0025641820393502712,1.0
43.0,0.002848278731107712,1.0
44.0,0.01507963240146637,1.0
45.0,0.374571830034256,0.9375
46.0,0.0033289643470197916,1.0
47.0,0.1807868927717209,0.96875
48.0,0.003656011074781418,1.0
49.0,0.16094349324703217,0.96875
50.0,0.003433855250477791,1.0
51.0,0.002429226180538535,1.0
52.0,0.004723034333437681,1.0
53.0,0.004069188609719276,1.0
54.0,0.10933530330657959,0.9375
55.0,0.0025537798646837473,1.0
56.0,0.005855538882315159,1.0
57.0,0.02475174143910408,1.0
58.0,0.002645408036187291,1.0
59.0,0.014291499741375446,1.0
60.0,0.0037952419370412827,1.0
61.0,0.0036579095758497715,1.0
62.0,0.00528273731470108,1.0
63.0,0.007719048298895359,1.0
64.0,0.00530076352879405,1.0
65.0,0.005024328827857971,1.0
66.0,0.002249248791486025,1.0
67.0,0.004546348005533218,1.0
68.0,0.003930391278117895,1.0
69.0,0.0034601017832756042,1.0
70.0,0.004249979741871357,1.0
71.0,0.002984278369694948,1.0
72.0,0.005818572361022234,1.0
73.0,0.004694222006946802,1.0
74.0,0.002252902602776885,1.0
75.0,0.0036438615061342716,1.0
76.0,0.004402257967740297,1.0
77.0,0.0024819402024149895,1.0
78.0,0.003747401060536504,1.0
79.0,0.0018674624152481556,1.0
80.0,0.004232496954500675,1.0
81.0,0.0053009288385510445,1.0
82.0,0.0034510502591729164,1.0
83.0,0.0031864321790635586,1.0
84.0,0.0058530354872345924,1.0
85.0,0.003539417404681444,1.0
86.0,0.0042635067366063595,1.0
87.0,0.0018505073385313153,1.0
88.0,0.001999106490984559,1.0
89.0,0.002522306516766548,1.0
90.0,0.007623899728059769,1.0
91.0,0.0021559002343565226,1.0
92.0,0.004140028730034828,1.0
93.0,0.003495474113151431,1.0
94.0,0.0037467186339199543,1.0
95.0,0.002421551151201129,1.0
96.0,0.0034520933404564857,1.0
97.0,0.002862008986994624,1.0
98.0,0.0027891669888049364,1.0
99.0,0.00315105146728456,1.0
100.0,0.003380963345989585,1.0
