variant,class_id,gas,seed_count,RMSE_mean,RMSE_sample_std,RMSE_median,RMSE_min,RMSE_max,MAE_mean,MAE_sample_std,MAE_median,MAE_min,MAE_max
RG0_RICH_ONLY,0,Ethanol,5,18.920255672968125,7.149085899198523,19.590914807229858,11.629753178908167,27.805169621575235,6.757717710837144,1.4140388057595907,6.9699641895883016,5.351915805126735,8.656282741413326
RG0_RICH_ONLY,1,CO,5,24.550440149780506,2.468528965052897,22.75323491722763,22.75323491722763,27.520055545853058,18.14186827771672,0.5862962345417727,17.713698182329818,17.713698182329818,18.784782653011387
RG0_RICH_ONLY,2,Ethylene,5,21.449024646780373,6.8043930727136,19.279452972961174,15.494935066716753,30.78803881153465,6.9000450969332565,1.5927521661166784,6.323075937519062,5.536619680960647,9.326291861100493
RG0_RICH_ONLY,3,Methane,5,14.443465916542333,1.4315197727960378,14.326637945837332,12.62127855956618,16.641021117849622,7.132547519120425,0.2092836975667739,7.165323123324176,6.797676064500646,7.378213487068072
RG1_FEDERATED_H1,0,Ethanol,5,17.240755089360185,7.22925961519179,18.44326170908522,9.380607227619697,26.065823662228386,6.457177753835836,1.3111496157488791,6.788469592770231,5.071378372314424,8.194343388229077
RG1_FEDERATED_H1,1,CO,5,18.42501211415736,3.393707204965771,15.962721684791092,15.962721684791092,22.6649997607787,12.222159854551794,0.6252773034470372,11.766207754650084,11.766207754650084,12.954536143110312
RG1_FEDERATED_H1,2,Ethylene,5,22.506446107194485,8.19224696018697,19.40185985121675,15.67028913954315,35.50515710000028,6.925121565732144,1.7207341690703692,6.181419375452957,5.593189771589538,9.787887325100359
RG1_FEDERATED_H1,3,Methane,5,13.419254806047306,1.534077381938657,13.291480461589469,11.432741163337576,15.748851834107727,6.550315968885532,0.2037255309536332,6.582871945429199,6.215224886605669,6.772386490380155
RG2_ALL_PRIOR,0,Ethanol,5,17.766070844012706,7.468608174891819,19.6405416382289,9.639973845954517,26.80408433735133,6.729075996551489,1.3653548156104447,7.202879651314764,5.291987342866695,8.504001141087398
RG2_ALL_PRIOR,1,CO,5,18.396872327555975,3.5121955476729183,15.858215699267275,15.858215699267275,22.91416650710558,12.168535023135618,0.6332341449046701,11.707120802743978,11.707120802743978,12.920526247014319
RG2_ALL_PRIOR,2,Ethylene,5,22.17227010522637,8.216642234070891,19.167748403128986,15.124455676111523,35.247723117938214,6.258212278244474,1.431440272935372,5.682033648355215,4.970256533525923,8.5543650952479
RG2_ALL_PRIOR,3,Methane,5,13.785120396023938,1.5168465983887707,13.552855535355095,11.735587365328762,15.973430215010358,6.847743091141498,0.22358313818731643,6.8495450069858075,6.481897948162278,7.04466141245422
