client_id,scope,sample_count,rss_mean_mib,rss_peak_mib,cpu_host_mean_pct,cpu_host_peak_pct,cpu_one_core_mean_pct,cpu_one_core_peak_pct,temperature_mean_c,temperature_peak_c
C1 / Raspberry Pi,training_overlap,22,499.9723011363636,511.90625,80.49560638119546,90.62917591619396,321.98242552478183,362.51670366477583,55,58.4
C1 / Raspberry Pi,full_attempt,388,503.34741462628864,511.90625,5.245634872819504,90.62917591619396,20.982539491278015,362.51670366477583,47.636726804123725,58.4
C2 / PC,training_overlap,39,415.36939102564105,426.20703125,37.7622401172579,72.60451565237192,226.5734407035474,435.62709391423147,,
C2 / PC,full_attempt,379,408.7196466853562,426.20703125,4.4471649700504,72.60451565237192,26.68298982030239,435.62709391423147,,
