direction,seed,N,b2_accuracy,b5_accuracy,b2_minus_b5_accuracy_pp,ci_low_pp,ci_high_pp,mcnemar_exact_p,b2_macro_f1,b5_macro_f1,b2_minus_b5_macro_f1_pp,b2_nll,b5_nll,b2_ece,b5_ece,decision
F1_C1_TO_C5,42,1360,0.9889705882352942,0.9830882352941176,0.5882352941176561,0,1.2500000000000067,0.09625244140625,0.9889539773984188,0.983130673740016,0.582330365840289,0.10081357824069066,0.13223446287536667,0.010651978455922178,0.014969853706219609,B2_noninferior
R1_C5_TO_C1,42,2680,0.9764925373134329,0.9835820895522388,-0.7089552238805918,-1.1940298507462699,-0.261194029850742,0.00432400493446039,0.9765251242782818,0.9836046899894706,-0.707956571118884,0.27685948761624446,0.17175490973439106,0.023724445355917032,0.01561448365005092,B5_favored
R2_C45_TO_C1,42,2680,0.9895522388059701,0.9914179104477612,-0.1865671641791078,-0.48507462686567804,0.11194029850746245,0.332305908203125,0.9895649401938136,0.9914360761215912,-0.18711359277776562,0.10585891088928671,0.08935576084548508,0.009554196093509415,0.008248767479142192,B5_favored
