step,method,source_ce,raw_alignment,weighted_alignment,total_loss,alignment_scope,active_alignment,target_fields,target_label_object_present,target_ce_status,class_conditional_status,phase_conditional_status,concentration_status,pseudo_label_status,dann_objective,optimizer,optimizer_lr,alignment_weight,source_checkpoint_ordered_fingerprint
18,dann,0.002371776383370161,0.6938452124595642,0.3469226062297821,0.34929439425468445,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
19,dann,0.002304840600118041,0.6955540180206299,0.34777700901031494,0.3500818610191345,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
20,dann,0.002980069490149617,0.6954613327980042,0.3477306663990021,0.35071074962615967,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
21,dann,0.0029628195334225893,0.6943608522415161,0.34718042612075806,0.3501432538032532,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
22,dann,0.004370775073766708,0.6917579174041748,0.3458789587020874,0.3502497375011444,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
23,dann,0.002817427273839712,0.6930178999900818,0.3465089499950409,0.34932637214660645,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
24,dann,0.004085150547325611,0.6943803429603577,0.34719017148017883,0.35127532482147217,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
25,dann,0.0024716556072235107,0.6958434581756592,0.3479217290878296,0.3503933846950531,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
26,dann,0.002617691643536091,0.6941418647766113,0.34707093238830566,0.3496886193752289,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
27,dann,0.0035102479159832,0.6901405453681946,0.3450702726840973,0.3485805094242096,unconditional_global,dann,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,GRL_binary_BCE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
