variant,seed,rounds,local_epochs_per_round,server_da_steps_per_round,server_da_total_steps,accuracy,macro_f1,nll,ece,error_count,recall_class_0,recall_class_1,recall_class_2,recall_class_3,server_da_seconds_mean_per_round,training_wall_seconds,training_wall_hours,metrics_sha256,predictions_sha256,summary_sha256,evidence_status,canonical_validator_accepted,formal_evidence_approved,accuracy_delta_vs_da100,macro_f1_delta_vs_da100,nll_delta_vs_da100,ece_delta_vs_da100,wall_time_reduction_vs_da100,prediction_disagreement_rows_vs_da100,da100_only_correct_rows,candidate_only_correct_rows,accuracy_retention_pass,macro_f1_retention_pass,joint_retention_pass
LE1_DA100,42,25,1,100,2500,0.9897058823529412,0.9897118464566658,0.07605435272835022,0.008967457887004388,14,0.9852941176470589,1.0,0.9823529411764705,0.9911764705882353,165.26923496372,4816.188522,1.337830145,0b7a2326cac7458e306a16b88ed9fff92693c9badb7d7444849927b37b057d2b,c6f05769ece4f4f537e87e1c7172024028e862526c3369519d680468b78311f3,78898bf44d9838ba0b68719d4d788948828a8a6dc3348fec91c60f5e6bf63eeb,post_freeze_existing_LE1_reference,True,True,0.0,0.0,0.0,0.0,0.0,0,0,0,True,True,True
LE1_DA80,42,25,1,80,2000,0.9852941176470589,0.9853025677027257,0.10568670999170435,0.012612167877309444,20,0.9676470588235294,1.0,0.9852941176470589,0.9882352941176471,135.02901600952,4057.892149,1.1271922636111111,b6b0ddc58fb934b8ecdcae3f65a640b08123106f31504f735e7e1871482c91e8,f838e230e35d3ab86cd4b617731ee0a82a04441a692447909921f473ad5e4cd8,a84d084cc6b17191598baf01766e1e0204175ad0c0c6f1f8519ead7c6e6bd5b3,post_freeze_single_seed_budget_sensitivity,True,True,-0.004411764705882337,-0.004409278753940038,0.029632357263354128,0.003644709990305056,0.15744740255414788,13,8,2,True,True,True
LE1_DA50,42,25,1,50,1250,0.975,0.9750870787155574,0.14588615872453078,0.019382179616128713,34,0.9470588235294117,0.9941176470588236,0.9823529411764705,0.9764705882352941,86.41803887556,2849.30176,0.7914727111111111,eb7ed5af9400e457e73f2125e261b958fc33a159c8b6bb92d9fef18fdce07a84,c00a41b289e2aa88bdddbac04f54edda0fab9c323811e21fbd914f00f591846e,af6824986683f17a713a3f3ff1c02b7f4a0c0886f0263bca2ba80091ad2c6a14,post_freeze_single_seed_budget_sensitivity,True,True,-0.014705882352941235,-0.014624767741108324,0.06983180599618057,0.010414721729124325,0.40839073325626774,26,22,2,False,False,False
LE1_DA30,42,25,1,30,750,0.9860294117647059,0.9860525311861753,0.07212931160811102,0.007258776312365284,19,0.9764705882352941,0.9882352941176471,0.9852941176470589,0.9941176470588236,50.6161986232,1934.751241,0.5374309002777777,e153f73deacd11a203e4069c606f1688c06c2224dda27eab49b23f1aa124d028,62cfcb21790e7ec10b1514f0a5a266224e5b84530406bf391897e7112adc9c7a,169e4753615b73f55d2fd9c8d82a3ba747fe43077ee751f98935347bfd3da410,blocked_observability_contract_technical_result_only,False,False,-0.003676470588235281,-0.0036593152704904597,-0.003925041120239198,-0.0017086815746391046,0.5982816635681522,17,10,5,True,True,True
