step,method,source_ce,raw_alignment,weighted_alignment,total_loss,alignment_scope,active_alignment,target_fields,target_label_object_present,target_ce_status,class_conditional_status,phase_conditional_status,concentration_status,pseudo_label_status,dann_objective,optimizer,optimizer_lr,alignment_weight,source_checkpoint_ordered_fingerprint
18,mmd,0.0024525695480406284,0.031503498554229736,0.015751749277114868,0.01820431835949421,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
19,mmd,0.002311122138053179,0.03072965145111084,0.01536482572555542,0.01767594739794731,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
20,mmd,0.003055677516385913,0.02072620391845703,0.010363101959228516,0.013418779708445072,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
21,mmd,0.0031017190776765347,0.021380186080932617,0.010690093040466309,0.01379181258380413,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
22,mmd,0.45133331418037415,0.059572696685791016,0.029786348342895508,0.48111966252326965,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
23,mmd,0.0034758441615849733,0.035523951053619385,0.017761975526809692,0.021237820386886597,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
24,mmd,0.005655079148709774,0.0224992036819458,0.0112496018409729,0.01690468192100525,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
25,mmd,0.003176993690431118,0.03648209571838379,0.018241047859191895,0.021418042480945587,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
26,mmd,0.00363004207611084,0.015838146209716797,0.007919073104858398,0.011549115180969238,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
27,mmd,0.0039044413715600967,0.06816816329956055,0.03408408164978027,0.03798852115869522,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
28,mmd,0.06579269468784332,0.025539398193359375,0.012769699096679688,0.07856239378452301,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
29,mmd,0.003867079969495535,0.020137786865234375,0.010068893432617188,0.01393597386777401,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
30,mmd,0.003283863887190819,0.028152525424957275,0.014076262712478638,0.017360126599669456,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
31,mmd,0.15632738173007965,0.04998576641082764,0.02499288320541382,0.18132026493549347,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
32,mmd,0.0027007514145225286,0.02538132667541504,0.01269066333770752,0.015391414985060692,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
33,mmd,0.0028344225138425827,0.017035603523254395,0.008517801761627197,0.01135222427546978,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
34,mmd,0.0023883329704403877,0.05797243118286133,0.028986215591430664,0.03137454763054848,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
35,mmd,0.0023010706063359976,0.039657771587371826,0.019828885793685913,0.022129956632852554,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
36,mmd,0.0025297505781054497,0.026916801929473877,0.013458400964736938,0.015988152474164963,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
37,mmd,0.21907420456409454,0.06461071968078613,0.032305359840393066,0.2513795495033264,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
38,mmd,0.002407168271020055,0.03200584650039673,0.016002923250198364,0.01841009221971035,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
39,mmd,0.0700119361281395,0.017604053020477295,0.008802026510238647,0.07881396263837814,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
40,mmd,0.00862616952508688,0.030369818210601807,0.015184909105300903,0.023811079561710358,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
41,mmd,0.003200080245733261,0.04717344045639038,0.02358672022819519,0.02678680047392845,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
42,mmd,0.007285685278475285,0.03773599863052368,0.01886799931526184,0.02615368366241455,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
43,mmd,0.003384504932910204,0.03890186548233032,0.01945093274116516,0.022835437208414078,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
44,mmd,0.0045676748268306255,0.024686217308044434,0.012343108654022217,0.01691078394651413,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
45,mmd,0.00283113494515419,0.07069480419158936,0.03534740209579468,0.03817853704094887,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
46,mmd,0.0029617345426231623,0.033012211322784424,0.016506105661392212,0.01946783997118473,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
47,mmd,0.0034368305932730436,0.023539602756500244,0.011769801378250122,0.01520663220435381,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
48,mmd,0.004627595189958811,0.01862967014312744,0.00931483507156372,0.013942429795861244,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
49,mmd,0.0035320932511240244,0.023830413818359375,0.011915206909179688,0.015447299927473068,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
50,mmd,0.0030985036864876747,0.018461227416992188,0.009230613708496094,0.012329117394983768,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
51,mmd,0.14920862019062042,0.037710726261138916,0.018855363130569458,0.16806398332118988,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
52,mmd,0.0026828977279365063,0.03977137804031372,0.01988568902015686,0.022568587213754654,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
53,mmd,0.0024525481276214123,0.04478144645690918,0.02239072322845459,0.02484327182173729,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
54,mmd,0.00255345506593585,0.028236806392669678,0.014118403196334839,0.016671858727931976,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
55,mmd,0.0021962521132081747,0.028389573097229004,0.014194786548614502,0.01639103889465332,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
56,mmd,0.002348432084545493,0.02307349443435669,0.011536747217178345,0.013885179534554482,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
57,mmd,0.1822078377008438,0.037706613540649414,0.018853306770324707,0.20106114447116852,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
58,mmd,0.0025109301786869764,0.033491432666778564,0.016745716333389282,0.019256645813584328,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
59,mmd,0.002418164163827896,0.030144870281219482,0.015072435140609741,0.017490599304437637,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
60,mmd,0.0031080618500709534,0.04345732927322388,0.02172866463661194,0.024836726486682892,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
61,mmd,0.006322165951132774,0.031009674072265625,0.015504837036132812,0.021827002987265587,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
62,mmd,0.17791074514389038,0.044577836990356445,0.022288918495178223,0.2001996636390686,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
63,mmd,0.003131086938083172,0.031043410301208496,0.015521705150604248,0.018652793020009995,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
64,mmd,0.0074004968628287315,0.017493367195129395,0.008746683597564697,0.016147181391716003,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
65,mmd,0.0030488837510347366,0.019602477550506592,0.009801238775253296,0.012850122526288033,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
66,mmd,0.002963470760732889,0.019285202026367188,0.009642601013183594,0.012606071308255196,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
67,mmd,0.003476256038993597,0.03476154804229736,0.01738077402114868,0.020857030525803566,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
68,mmd,0.0038433452136814594,0.038581132888793945,0.019290566444396973,0.023133911192417145,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
69,mmd,0.003922562580555677,0.0218314528465271,0.01091572642326355,0.014838289469480515,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
70,mmd,0.0031167035922408104,0.04194134473800659,0.020970672369003296,0.02408737689256668,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
71,mmd,0.0031479254830628633,0.03603416681289673,0.018017083406448364,0.02116500958800316,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
72,mmd,0.002631498035043478,0.041488707065582275,0.020744353532791138,0.023375852033495903,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
73,mmd,0.0025615175254642963,0.014233231544494629,0.0071166157722473145,0.009678132832050323,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
74,mmd,0.0025673501659184694,0.029243528842926025,0.014621764421463013,0.017189115285873413,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
75,mmd,0.0021822303533554077,0.031714797019958496,0.015857398509979248,0.018039628863334656,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
76,mmd,0.002316799247637391,0.05501836538314819,0.027509182691574097,0.029825981706380844,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
77,mmd,0.04894835129380226,0.047848284244537354,0.023924142122268677,0.07287248969078064,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
78,mmd,0.0023438793141394854,0.03455108404159546,0.01727554202079773,0.019619422033429146,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
79,mmd,0.0025195027701556683,0.03293246030807495,0.016466230154037476,0.01898573338985443,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
