mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
baseline_final_ppm,test,ALL,baseline_final_ppm,5400,27.336272006610333,12.998893677167533,0.1578336952944895,-0.7640208506911423,27.83922873437405
baseline_final_ppm,test,C3,baseline_final_ppm,2680,19.68588107638486,11.102676585287554,0.110765038856896,0.13622063720544952,24.297240525484078
baseline_final_ppm,test,C3-CO,baseline_final_ppm,670,33.7008253219887,20.85602887873121,0.14978144587550535,-0.34794183484445423,42.26480424404144
baseline_final_ppm,test,C3-CO_low_25_100,baseline_final_ppm,268,25.070639508976413,16.733673210959505,0.11142506448433961,2.533289732944929,29.861310459673412
baseline_final_ppm,test,C3-CO_mid_125_175,baseline_final_ppm,201,34.77081194869034,23.57227482800534,0.15453694199417928,3.6975319627023753,55.79385459423065
baseline_final_ppm,test,C3-CO_high_200_250,baseline_final_ppm,201,41.698442503136704,23.636257153152677,0.18532641112505197,-8.235057722777128,42.900943756103516
baseline_final_ppm,test,C3-nonCO,baseline_final_ppm,2010,11.752872381267414,7.85155915413967,0.09423568645214646,0.2976081278887508,17.98611104488374
baseline_final_ppm,test,C4,baseline_final_ppm,1360,30.610873222536796,13.058205977534218,0.15201070538296763,-1.480255008825813,27.1535112708807
baseline_final_ppm,test,C4-CO,baseline_final_ppm,340,56.588431890041136,27.309382034684806,0.25150414173351615,-7.428811718709767,51.3457596302033
baseline_final_ppm,test,C4-CO_low_25_100,baseline_final_ppm,136,20.01854826396091,10.412459154544836,0.08897132561760404,3.0393287577145895,25.28303600847721
baseline_final_ppm,test,C4-CO_mid_125_175,baseline_final_ppm,102,32.479044217650525,25.132904559666034,0.14435130763400233,4.851609753335223,53.143137693405166
baseline_final_ppm,test,C4-CO_high_200_250,baseline_final_ppm,102,95.31504288319486,52.01509001655687,0.42362241281419943,-33.666753825987236,233.80422707181424
baseline_final_ppm,test,C4-nonCO,baseline_final_ppm,1020,13.48890425511596,8.307813958484022,0.09861488206654702,0.5025972278021714,19.119710214436054
baseline_final_ppm,test,C5,baseline_final_ppm,1360,35.58669915603665,16.676244469623164,0.22722019855381914,-1.8217919775291675,39.52300228178502
baseline_final_ppm,test,C5-CO,baseline_final_ppm,340,46.11548174353218,32.873059051001775,0.2049576966379208,-7.474195729283726,67.9931676387787
baseline_final_ppm,test,C5-CO_low_25_100,baseline_final_ppm,136,32.718059118772295,23.547905029537265,0.14541359608343243,5.848283240544227,48.99037666618824
baseline_final_ppm,test,C5-CO_mid_125_175,baseline_final_ppm,102,45.398435985373574,35.89817296768374,0.20177082660166035,7.410517719336877,75.51520705223085
baseline_final_ppm,test,C5-CO_high_200_250,baseline_final_ppm,102,60.003991602304794,42.28148382960581,0.26668440712135466,-40.12221447100826,85.81828527152541
baseline_final_ppm,test,C5-nonCO,baseline_final_ppm,1020,31.299706978665625,11.277306275830293,0.2341711746509563,0.06234260638901854,18.580510430037982
baseline_final_ppm,test,nonCO_ALL,baseline_final_ppm,4050,19.00289748774791,8.829248528104033,0.14376059276542724,0.2899829550447908,18.60622443258762
target_ridge_direct,test,ALL,candidate_ppm,5400,23.67426330384198,8.232675976982758,0.15099515837578978,-0.30325393588961297,15.968567831473708
target_ridge_direct,test,C3,candidate_ppm,2680,14.676809858370849,6.3337214472561945,0.10463794247603123,0.20536589170864922,13.592053864847498
target_ridge_direct,test,C3-CO,candidate_ppm,670,18.69567019001178,11.388528894915392,0.08309186751116346,-0.15121535852818527,22.178402848282936
target_ridge_direct,test,C3-CO_low_25_100,candidate_ppm,268,11.059601153302076,7.75408693873384,0.04915378290356478,3.6948027608121126,18.252301041119736
target_ridge_direct,test,C3-CO_mid_125_175,candidate_ppm,201,20.061590186083418,13.091537052206045,0.08916262304925965,5.679009629029279,22.63008185263797
target_ridge_direct,test,C3-CO_high_200_250,candidate_ppm,201,24.485502686783136,14.531443345866816,0.10882445638570282,-11.109464505206049,27.227441243837433
target_ridge_direct,test,C3-nonCO,candidate_ppm,2010,13.06530911257482,4.648785631369795,0.11089354891963753,0.32422630845426065,8.162273161259726
target_ridge_direct,test,C4,candidate_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.27810882050867,16.313880027124398
target_ridge_direct,test,C4-CO,candidate_ppm,340,54.20708106810707,22.5042732163557,0.24092036030269812,-10.478809246177274,33.8426360329072
target_ridge_direct,test,C4-CO_low_25_100,candidate_ppm,136,9.597011751056343,7.585513210550541,0.04265338556025041,6.983933742555293,14.892692625073046
target_ridge_direct,test,C4-CO_mid_125_175,candidate_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.3526188911798636,32.12744398331302
target_ridge_direct,test,C4-CO_high_200_250,candidate_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.59389470184451,237.5
target_ridge_direct,test,C4-nonCO,candidate_ppm,1020,8.855616075975213,5.04532700245323,0.05985196758332785,0.45545798804753146,11.430228003851528
target_ridge_direct,test,C5,candidate_ppm,1360,31.741112660390947,10.797345853674312,0.22749519239239765,0.6693207002269865,22.92419949969997
target_ridge_direct,test,C5-CO,candidate_ppm,340,30.67462829302202,18.48233971413193,0.1363316813023201,-2.477056429420595,37.5
target_ridge_direct,test,C5-CO_low_25_100,candidate_ppm,136,31.621721250417817,16.631416970408637,0.1405409833351903,1.9233317769233598,37.5
target_ridge_direct,test,C5-CO_mid_125_175,candidate_ppm,102,28.298814596768057,19.88566748715636,0.12577250931896916,5.698987408540566,41.92163458623368
target_ridge_direct,test,C5-CO_high_200_250,candidate_ppm,102,31.6603141016605,19.546908932738546,0.1407125071184911,-16.520284542507028,38.55310484696855
target_ridge_direct,test,C5-nonCO,candidate_ppm,1020,32.088731722955615,8.235681233521774,0.25061918184096144,1.71811307677618,9.389338362473577
target_ridge_direct,test,nonCO_ALL,candidate_ppm,4050,19.073492949884752,5.652021609814269,0.15107663753235728,0.7083302138551233,9.241866943860595
target_mlp_direct,test,ALL,candidate_ppm,5400,21.815062824736394,8.29293764242607,0.14257675933515243,-1.141424537666617,16.486291543897313
target_mlp_direct,test,C3,candidate_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.11045417442132663,12.889371172619644
target_mlp_direct,test,C3-CO,candidate_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
target_mlp_direct,test,C3-CO_low_25_100,candidate_ppm,268,9.600600953202303,6.204518350598524,0.04266933756978801,0.419522553800514,14.2273235181939
target_mlp_direct,test,C3-CO_mid_125_175,candidate_ppm,201,18.60424928016379,10.699247242035378,0.08268555235628351,-0.4471241365627028,19.383691474831693
target_mlp_direct,test,C3-CO_high_200_250,candidate_ppm,201,20.015310622092212,11.738715997077499,0.08895693609818761,-6.250515551634081,28.979979819346994
