policy,threshold_ppm,N,RMSE,MAE,P90_abs_error,max_abs_error,SSE
argmax,40.0,1088,23.6371761670027,10.51780416504443,21.387409084825777,212.5,607883.1136991135
cost,40.0,1088,25.553666810926682,10.99233549114287,22.03438206418934,212.5,710452.9975824353
