replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
0,80,1371,0.7917562348135725
1,80,1375,0.09267817675547718
2,80,1343,4.129914043301898
3,80,1358,-0.4549621489408153
4,80,1360,1.5024742059737726
5,80,1376,0.10992243153560466
6,80,1353,2.08029098432651
7,80,1349,0.4636496717955758
8,80,1372,3.4566942303665726
9,80,1334,1.1960690539673173
10,80,1373,1.4129561449602015
11,80,1373,1.0043426550284096
12,80,1387,-0.1632304795497852
13,80,1360,3.3771703558912556
14,80,1356,0.08827212402942664
15,80,1368,2.844809798467619
16,80,1367,1.3583796560141472
17,80,1336,0.2585037379053077
18,80,1372,1.8470954413682321
19,80,1369,1.1373310369296803
20,80,1360,-0.7487031946517071
21,80,1359,0.2655997469309739
22,80,1374,-0.19643666066251342
23,80,1389,-0.03633713219538137
24,80,1351,-0.9232704239831833
25,80,1372,-0.013999682866000285
26,80,1371,0.5770567892975507
27,80,1357,0.5527956777799119
28,80,1371,-0.6024102826607631
29,80,1368,0.8511199276540999
30,80,1368,2.6113723561318665
31,80,1363,-1.309434735607688
32,80,1370,2.3589906657231623
33,80,1369,2.6354799688411497
34,80,1358,-0.17222573978086686
35,80,1365,-0.47859283919063955
36,80,1381,0.17179697657330095
37,80,1339,-1.4681366122080135
38,80,1381,1.7198978036898254
39,80,1351,0.9697463253827081
40,80,1364,-0.9046208224092211
41,80,1382,-0.5668080195358023
42,80,1351,0.6447218566748951
43,80,1364,0.01063503260753862
44,80,1371,-0.9933609508241616
45,80,1363,0.11529425655996661
46,80,1363,0.5553519294509037
47,80,1382,-0.9134082591120674
48,80,1348,1.0547796433741077
49,80,1362,2.403037171299143
50,80,1358,0.5382165602039386
51,80,1367,1.6713197215644833
52,80,1356,1.0604486785190623
53,80,1339,1.1167869030749173
54,80,1361,-0.34887668259872484
55,80,1362,1.41142260446928
56,80,1359,0.42379788342699243
57,80,1366,1.2519931514984144
58,80,1350,1.2971864975748133
59,80,1357,1.7676049034390573
60,80,1352,0.5061220036032203
61,80,1355,9.34847296534258e-05
62,80,1359,-0.6999062870305366
63,80,1351,-0.10374504902853232
64,80,1362,-1.603208042578526
65,80,1351,1.1706557000075506
66,80,1360,1.472489729286373
67,80,1364,-0.044887904398347445
68,80,1354,-1.1496256711109112
69,80,1356,-1.2559479186285856
70,80,1353,-0.20549710968635537
71,80,1364,0.20434435535178608
72,80,1349,3.0987005084945807
73,80,1355,1.581732625442072
74,80,1341,-0.3194747300220442
75,80,1367,-0.763115151325966
76,80,1369,-0.4276212255639287
77,80,1354,3.116003241175978
78,80,1364,2.3328426873995056
79,80,1354,-1.3056748306268915
80,80,1366,-0.7626688827106634
81,80,1360,-0.30306230671355294
82,80,1382,-2.277324799189472
83,80,1352,1.576123886476907
84,80,1389,0.030640189736029555
85,80,1371,1.796241692731364
86,80,1344,-1.6151670805072378
87,80,1375,6.035318866048957
88,80,1347,0.5541585889425917
89,80,1366,-0.38551583712320436
90,80,1374,0.2461947293869713
91,80,1365,-2.122429397390075
92,80,1371,0.006931064748417981
93,80,1348,1.2908613079253541
94,80,1379,-0.9731410811218026
