policy,N,accuracy,macro_f1,confusion_matrix,RMSE,MAE,NRMSE_range,R2,Bias
Argmax,1360,0.9764705882352941,0.9765440505346443,"[[337, 3, 0, 0], [1, 330, 6, 3], [0, 9, 330, 1], [1, 7, 1, 331]]",28.057496229689647,10.691170586712394,0.19972727686326158,0.821260210875533,1.1670805278582432
ExpectedCost,1360,0.9735294117647059,0.9735250697823341,"[[337, 3, 0, 0], [0, 323, 11, 6], [0, 6, 331, 3], [1, 3, 3, 333]]",28.370587000157833,10.88717796218195,0.18861679164498674,0.8172488754556254,1.3303905624880026
