target_id,channel,source_mean,target_mean,mean_shift,source_std,target_std,std_shift,source_median,target_median,median_shift,source_iqr,target_iqr,iqr_shift,source_q05,target_q05,q05_shift,source_q95,target_q95,q95_shift,standardized_mean_difference,estimator_scope
C3,0,0.4247056432234715,0.3676651343672544,-0.05704050885621709,0.51116769213229,0.42812702142338155,-0.08304067070890842,0.2557298681545026,0.20106620287217686,-0.054663665282325746,0.38315635387639796,0.41978853005432853,0.036632176177930575,0.02233843747545754,0.01442205673929378,-0.00791638073616376,1.6472174581485415,1.4153264475479541,-0.23189101060058737,-0.1115886425025763,raw_sensor_space
C3,1,0.22922366883845594,0.24128790083855597,0.01206423200010004,0.3424505224404828,0.3376620361070485,-0.004788486333434316,0.05529069712991397,0.08362760226393487,0.0283369051340209,0.23141757015174494,0.261576195326539,0.030158625174794035,-0.0005030006225822969,0.0006406932343451478,0.0011436938569274447,1.0425223713202334,1.0886837083272218,0.046161337006988434,0.03522912423705465,raw_sensor_space
C3,2,0.4615942792205963,0.6351592677604307,0.17356498853983443,0.45180833233708884,0.5292380795310921,0.0774297471940033,0.338101902343352,0.46565866447747406,0.12755676213412204,0.45863723670610745,0.6115183804634469,0.1528811437573394,0.048086608039783034,0.08481110420766054,0.036724496167877506,1.506926094193864,1.8633682881911526,0.3564421939972886,0.38415623643332825,raw_sensor_space
C3,3,1.2918796891923165,0.7760875799488275,-0.5157921092434891,1.6308734419521536,0.98464674447999,-0.6462266974721635,0.5957392773753514,0.3117112109576136,-0.28402806641773776,1.5678012551867602,0.839033882228917,-0.7287673729578432,0.04687472022512153,0.0319913667053386,-0.014883353519782927,5.245818758427029,3.1372963222924035,-2.108522436134625,-0.3162674036963202,raw_sensor_space
C3,4,0.8515717021232967,1.0621193909565338,0.21054768883323716,0.9935580481567454,1.1019344163402949,0.10837636818354945,0.5049403087739223,0.653936180517634,0.14899587174371176,0.8865507250253721,1.4198475618570443,0.5332968368316722,0.03669681446375324,0.04623245252323116,0.009535638059477922,3.2042778053666443,3.6063353114796035,0.4020575061129592,0.2119128210212241,raw_sensor_space
C3,5,0.47768872327643397,0.6028421912102817,0.12515346793384774,0.7059480767559131,0.9095095218407077,0.20356144508479457,0.1008235356411717,0.12135254094181604,0.020529005300644332,0.4670293238887466,0.5679472394681316,0.10091791557938506,0.0016062481224098438,0.0013187030553672631,-0.00028754506704258063,2.1462601704431634,2.793844351270817,0.6475841808276535,0.17728423952788883,raw_sensor_space
C3,6,0.8702453524664817,1.0294897807465968,0.1592444282801151,0.8999190548592827,1.0250848049408336,0.12516575008155095,0.6027103606774886,0.7362187849461694,0.13350842426868081,0.8727008510134594,1.0675060449429499,0.19480519392949047,0.06312788205644575,0.07951825320440542,0.016390371147959673,3.0128056769767673,3.5538534650575637,0.5410477880807965,0.1769541687335597,raw_sensor_space
C3,7,1.7659518729174781,2.2007294108439774,0.4347775379264993,2.131203462495901,2.715345337966237,0.584141875470336,0.8808779480201552,0.9916217160630384,0.11074376804288322,1.7984789016937086,1.9410939709648445,0.14261506927113587,0.06514282130810711,0.08012362834125858,0.014980807033151466,6.671688442100354,8.735880044670868,2.0641916025705136,0.2040056454381514,raw_sensor_space
C4,0,0.4247056432234715,0.6039420362315755,0.179236393008104,0.51116769213229,0.5547051656106006,0.04353747347831061,0.2557298681545026,0.4707250431183626,0.21499517496386,0.38315635387639796,0.7203318114752202,0.3371754575988222,0.02233843747545754,0.04386557205590614,0.0215271345804486,1.6472174581485415,1.8190041129820178,0.17178665483347633,0.350641082695261,raw_sensor_space
C4,1,0.22922366883845594,0.22406585301536291,-0.0051578158230930204,0.3424505224404828,0.326281935673215,-0.01616858676726779,0.05529069712991397,0.05975496840489618,0.0044642712749822094,0.23141757015174494,0.23998946701891805,0.008571896867173107,-0.0005030006225822969,0.002483589952309691,0.002986590574891988,1.0425223713202334,1.0350359730085354,-0.0074863983116979504,-0.015061492055365278,raw_sensor_space
C4,2,0.4615942792205963,0.6440693661390523,0.182475086918456,0.45180833233708884,0.5191423511882428,0.06733401885115398,0.338101902343352,0.5728130267972986,0.2347111244539466,0.45863723670610745,0.6613556328612176,0.20271839615511011,0.048086608039783034,0.0753869805662096,0.027300372526426565,1.506926094193864,1.8036102879347344,0.2966841937408704,0.40387720601468124,raw_sensor_space
C4,3,1.2918796891923165,0.6636744213117279,-0.6282052678805886,1.6308734419521536,0.8735585358618275,-0.757314906090326,0.5957392773753514,0.2762422671679898,-0.3194970102073616,1.5678012551867602,0.6970062248360281,-0.870795030350732,0.04687472022512153,0.01952264658869071,-0.02735207363643082,5.245818758427029,2.7836799525229954,-2.4621388059040332,-0.3851955962497174,raw_sensor_space
C4,4,0.8515717021232967,0.9999508232515754,0.14837912112827867,0.9935580481567454,0.9661449480543596,-0.027413100102385846,0.5049403087739223,0.7534706289381863,0.24853032016426402,0.8865507250253721,1.2785342347443451,0.391983509718973,0.03669681446375324,0.04440915263749891,0.00771233817374567,3.2042778053666443,3.143679890383821,-0.0605979149828233,0.1493411697520366,raw_sensor_space
C4,5,0.47768872327643397,0.5262079236708306,0.04851920039439661,0.7059480767559131,0.8188363401892644,0.11288826343335134,0.1008235356411717,0.08351022532324803,-0.017313310317923672,0.4670293238887466,0.46821096331945555,0.0011816394307089806,0.0016062481224098438,0.0028666913632293873,0.0012604432408195435,2.1462601704431634,2.546756673406602,0.4004965029634384,0.06872913460910596,raw_sensor_space
C4,6,0.8702453524664817,1.5217213235462472,0.6514759710797655,0.8999190548592827,1.2182569902661375,0.31833793540685484,0.6027103606774886,1.3483179955589404,0.7456076348814518,0.8727008510134594,1.6178259584924648,0.7451251074790054,0.06312788205644575,0.1744100500969377,0.11128216804049194,3.0128056769767673,4.239663050778456,1.226857373801689,0.7239272994187623,raw_sensor_space
C4,7,1.7659518729174781,2.0854381339032138,0.3194862609857356,2.131203462495901,2.889749403970529,0.7585459414746283,0.8808779480201552,0.9027487070348252,0.02187075901467006,1.7984789016937086,1.379775526405444,-0.4187033752882645,0.06514282130810711,0.08514783561910472,0.020005014310997604,6.671688442100354,8.309398997501908,1.6377105554015543,0.14990885037863913,raw_sensor_space
C5,0,0.4247056432234715,0.3407948125473554,-0.0839108306761161,0.51116769213229,0.45510165250411727,-0.05606603962817269,0.2557298681545026,0.1657007754954153,-0.09002909265908732,0.38315635387639796,0.27317778076538446,-0.1099785731110135,0.02233843747545754,0.011102925040591823,-0.011235512434865718,1.6472174581485415,1.4705354017151682,-0.1766820564333733,-0.16415519205857795,raw_sensor_space
