step,val_loss,coral_loss,mmd_global,mmd_class,adv_loss,proto_anchor,proto_loss,consist_loss,residual_loss,mmd_proto_loss,stage_mmd_loss,align_reg_legacy_loss,target_ce_loss,target_ce_acc,weighted_coral_loss,weighted_mmd_global,weighted_mmd_class,weighted_adv_loss,weighted_proto_anchor,weighted_proto_loss,weighted_consist_loss,weighted_residual_loss,weighted_mmd_proto_loss,weighted_stage_mmd_loss,weighted_align_reg_legacy_loss,weighted_target_ce_loss,total_loss
1.0,0.001765556400641799,5.582981430052314e-06,0.16743767261505127,0.4558326005935669,0.005735673941671848,1469.5059814453125,154.0386505126953,589.6442260742188,0.0,1.9324742555618286,0.6873192191123962,0.0,0.0,0.0,2.791490715026157e-06,0.08371883630752563,0.22791630029678345,0.002867836970835924,440.851806640625,7.701932430267334,1179.2884521484375,0.0,0.38649484515190125,0.13746385276317596,0.0,0.0,1628.682373046875
2.0,0.0011128924088552594,9.46947966440348e-06,0.08174765110015869,0.43385547399520874,0.011934012174606323,1473.205810546875,154.39662170410156,908.7032470703125,0.0,1.9324742555618286,0.5602596402168274,0.0,0.0,0.0,4.73473983220174e-06,0.040873825550079346,0.21692773699760437,0.005967006087303162,441.9617614746094,7.7198309898376465,1817.406494140625,0.0,0.38649484515190125,0.11205192655324936,0.0,0.0,2267.8515625
3.0,0.04481371492147446,7.785207344568335e-06,0.0812423825263977,0.3061974346637726,0.008927997201681137,1463.4276123046875,154.69198608398438,888.8593139648438,0.0,1.9324742555618286,0.129527285695076,0.0,0.0,0.0,3.892603672284167e-06,0.04062119126319885,0.1530987173318863,0.0044639986008405685,439.0282897949219,7.734599590301514,1777.7186279296875,0.0,0.38649484515190125,0.025905458256602287,0.0,0.0,2225.136962890625
4.0,0.06620581448078156,7.654412002011668e-06,0.13534128665924072,0.3633405864238739,0.01767965406179428,1464.1168212890625,155.01055908203125,650.9375,0.0,1.9324742555618286,0.5039657950401306,0.0,0.0,0.0,3.827206001005834e-06,0.06767064332962036,0.18167029321193695,0.00883982703089714,439.2350769042969,7.750527858734131,1301.875,0.0,0.38649484515190125,0.10079316049814224,0.0,0.0,1749.67236328125
5.0,0.0014998920960351825,6.766537353541935e-06,0.12984848022460938,0.29964205622673035,0.0187824834138155,1458.651611328125,155.33290100097656,630.25146484375,0.0,1.9324742555618286,0.49152612686157227,0.0,0.0,0.0,3.3832686767709674e-06,0.06492424011230469,0.14982102811336517,0.00939124170690775,437.5954895019531,7.7666449546813965,1260.5029296875,0.0,0.38649484515190125,0.09830522537231445,0.0,0.0,1706.575439453125
6.0,0.05654054880142212,5.475273155752802e-06,0.14978677034378052,0.45572319626808167,0.032373879104852676,1471.8404541015625,155.66246032714844,818.1116943359375,0.0,1.9324742555618286,0.5320110321044922,0.0,0.0,0.0,2.737636577876401e-06,0.07489338517189026,0.22786159813404083,0.016186939552426338,441.5521545410156,7.783123016357422,1636.223388671875,0.0,0.38649484515190125,0.1064022108912468,0.0,0.0,2086.427001953125
7.0,0.09340588748455048,5.805070486530894e-06,0.0902220606803894,0.2545846700668335,0.029568443074822426,1458.7603759765625,155.9950408935547,693.9915161132812,0.0,1.9324742555618286,0.3675055503845215,0.0,0.0,0.0,2.902535243265447e-06,0.0451110303401947,0.12729233503341675,0.014784221537411213,437.6281433105469,7.799752235412598,1387.9830322265625,0.0,0.38649484515190125,0.0735011100769043,0.0,0.0,1834.1514892578125
8.0,0.07465655356645584,8.871496902429499e-06,0.061865925788879395,0.3865956664085388,0.031151872128248215,1468.782958984375,156.3311767578125,637.3648681640625,0.0,1.9324742555618286,0.43924152851104736,0.0,0.0,0.0,4.435748451214749e-06,0.030932962894439697,0.1932978332042694,0.015575936064124107,440.6349182128906,7.816558837890625,1274.729736328125,0.0,0.38649484515190125,0.08784830570220947,0.0,0.0,1723.969970703125
9.0,0.1478530615568161,1.402695124852471e-05,0.1492292881011963,0.24906226992607117,0.03658156096935272,1461.0594482421875,156.67166137695312,766.1283569335938,0.0,1.9324742555618286,0.3517734110355377,0.0,0.0,0.0,7.013475624262355e-06,0.07461464405059814,0.12453113496303558,0.01829078048467636,438.3178405761719,7.833583354949951,1532.2567138671875,0.0,0.38649484515190125,0.07035468518733978,0.0,0.0,1979.230224609375
10.0,0.07338656485080719,6.093769115977921e-06,0.08668839931488037,0.2544982433319092,0.0463891476392746,1454.278564453125,157.0084991455078,816.808349609375,0.0,1.9324742555618286,0.2649270296096802,0.0,0.0,0.0,3.0468845579889603e-06,0.043344199657440186,0.1272491216659546,0.0231945738196373,436.2835998535156,7.8504252433776855,1633.61669921875,0.0,0.38649484515190125,0.052985407412052155,0.0,0.0,2078.457275390625
