mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
baseline_final_ppm,test,ALL,baseline_final_ppm,8040,22.93516678392923,12.85142349674499,0.1473183954542298,-0.5979955255371077,28.819300830364227
baseline_final_ppm,test,C1,baseline_final_ppm,2680,23.396269644341277,13.621040444666695,0.1328387690525553,-4.51730135018019,33.2266530767083
baseline_final_ppm,test,C1-CO,baseline_final_ppm,670,37.683713113300236,27.08653698254849,0.16748316939244548,-8.232650167287897,54.65116962790489
baseline_final_ppm,test,C1-CO_low_25_100,baseline_final_ppm,268,28.264915703716227,21.34601382630766,0.12562184757207212,3.4834120546835963,49.494858384132385
baseline_final_ppm,test,C1-CO_mid_125_175,baseline_final_ppm,201,31.102722601356717,25.001457591184337,0.13823432267269653,2.6199927470132485,55.510857701301575
baseline_final_ppm,test,C1-CO_high_200_250,baseline_final_ppm,201,51.970704701307724,36.825647248900424,0.2309809097835899,-34.706709377551036,58.0805778503418
baseline_final_ppm,test,C1-nonCO,baseline_final_ppm,2010,16.015404033589917,9.132541598706096,0.1190713262766676,-3.278851744477621,19.636930152773864
baseline_final_ppm,test,C2,baseline_final_ppm,2680,20.2753591594184,11.944152251173149,0.13192358172061006,3.7469454723311593,27.83691123127937
baseline_final_ppm,test,C2-CO,baseline_final_ppm,670,21.996732424248606,16.481695805933438,0.09776325521888268,1.3523801798070434,38.7135149538517
baseline_final_ppm,test,C2-CO_low_25_100,baseline_final_ppm,268,17.995045755728242,12.479080986005686,0.07997798113656997,6.223488574997008,27.793246954679496
baseline_final_ppm,test,C2-CO_mid_125_175,baseline_final_ppm,201,22.975640054047865,17.8874450165834,0.10211395579576829,9.987618229282436,38.60725164413452
baseline_final_ppm,test,C2-CO_high_200_250,baseline_final_ppm,201,25.558009695314574,20.412766355187145,0.1135911542013981,-13.777669063254969,42.77374744415283
baseline_final_ppm,test,C2-nonCO,baseline_final_ppm,2010,19.668117337708903,10.43163773291972,0.14148930652760247,4.545133903172531,24.703377138844104
