experiment_id,target,class_id,gas,calibration_fit_N,calibration_validation_N,calibration_refit_N,input_dimension,selected_alpha,calibration_validation_RMSE,alpha_grid_audit,selection_split,target_test_used_for_selection
XTR-R84-GAPS-C5,C5,0,Ethanol,60,20,80,84,1.0,5.178443970298395,"[{""alpha"":0.0,""validation_RMSE"":12.698756523339592},{""alpha"":0.01,""validation_RMSE"":8.14700091058222},{""alpha"":0.1,""validation_RMSE"":6.657024638881264},{""alpha"":1.0,""validation_RMSE"":5.178443970298395},{""alpha"":10.0,""validation_RMSE"":6.286048294207282},{""alpha"":100.0,""validation_RMSE"":9.45273375244185},{""alpha"":1000.0,""validation_RMSE"":19.763941140472635}]",C5_calibration_internal_75_25,False
XTR-R84-GAPS-C5,C5,1,CO,60,20,80,84,1.0,27.985362397325616,"[{""alpha"":0.0,""validation_RMSE"":33.524136840553986},{""alpha"":0.01,""validation_RMSE"":30.30550676511709},{""alpha"":0.1,""validation_RMSE"":28.928794317547226},{""alpha"":1.0,""validation_RMSE"":27.985362397325616},{""alpha"":10.0,""validation_RMSE"":30.290528334822465},{""alpha"":100.0,""validation_RMSE"":34.433334302093996},{""alpha"":1000.0,""validation_RMSE"":45.981944557533396}]",C5_calibration_internal_75_25,False
XTR-R84-GAPS-C5,C5,2,Ethylene,60,20,80,84,0.0,9.335383856655179,"[{""alpha"":0.0,""validation_RMSE"":9.335383856655179},{""alpha"":0.01,""validation_RMSE"":11.69848740493065},{""alpha"":0.1,""validation_RMSE"":12.493801144701012},{""alpha"":1.0,""validation_RMSE"":12.213020661748464},{""alpha"":10.0,""validation_RMSE"":11.926659551207965},{""alpha"":100.0,""validation_RMSE"":11.549673584109225},{""alpha"":1000.0,""validation_RMSE"":19.36067549203523}]",C5_calibration_internal_75_25,False
XTR-R84-GAPS-C5,C5,3,Methane,60,20,80,84,0.1,7.1270378114833575,"[{""alpha"":0.0,""validation_RMSE"":9.213665334349935},{""alpha"":0.01,""validation_RMSE"":12.119033429200334},{""alpha"":0.1,""validation_RMSE"":7.1270378114833575},{""alpha"":1.0,""validation_RMSE"":14.088556577550966},{""alpha"":10.0,""validation_RMSE"":40.31980710603121},{""alpha"":100.0,""validation_RMSE"":61.400143535871386},{""alpha"":1000.0,""validation_RMSE"":62.83753914093598}]",C5_calibration_internal_75_25,False
